Name,Code,Price,PER,PBR,PSR,Date,YoY,QoQ,EYoY,EQoQ,reg_date
티와이홀딩스,363280,28450,81.44,0.97,14.08,2020/09,,,,2.79,2021-01-15 13:51:31
엘브이엠씨,900140,4115,-35.06,0.67,3.14,2020/09,-0.8,-0.31,,,2021-01-15 13:51:32
동화약품,000020,18050,42.72,1.52,7.57,2020/09,9.29,0.16,,,2021-01-15 13:51:59
KR모터스,000040,1055,-64.47,1.64,3.32,2020/09,-1.03,-0.88,,,2021-01-15 13:51:59
경방,000050,13000,93.79,0.48,4.23,2020/09,0.09,0.45,,,2021-01-15 13:51:59
메리츠화재,000060,14900,15.26,0.62,0.74,2020/09,0.51,0.06,,,2021-01-15 13:51:59
삼양홀딩스,000070,81100,15.93,0.33,1.08,2020/09,0.7,0.88,,,2021-01-15 13:52:00
하이트진로,000080,35750,77.87,2.3,4.02,2020/09,0.31,0.19,0.09,-0.45,2021-01-15 13:52:00
유한양행,000100,76300,185.38,2.87,12.42,2020/09,5.18,-0.43,3.07,0.7,2021-01-15 13:52:00
CJ대한통운,000120,169000,81.16,1.01,1.39,2020/09,0.04,0.1,0.05,0.15,2021-01-15 13:52:00
하이트진로홀딩스,000140,15850,12.18,0.35,0.59,2020/09,0.31,0.18,,,2021-01-15 13:52:00
두산,000150,59000,-27.16,0.15,0.23,2020/09,0.2,26.52,,,2021-01-15 13:52:00
성창기업지주,000180,2140,74.63,0.28,3.67,2020/09,-2.58,0.19,,,2021-01-15 13:52:00
대림산업,000210,83000,12.61,0.4,1.3,2020/09,0.13,-0.19,0.01,0.51,2021-01-15 13:52:01
유유제약,000220,13850,98.86,0.98,3.88,2020/09,0.0,-0.12,,,2021-01-15 13:52:01
일동홀딩스,000230,14250,-31.03,0.52,1.07,2020/09,-0.36,-1.63,,,2021-01-15 13:52:01
한국테크놀로지그룹,000240,14800,21.21,0.4,6.23,2020/09,-0.11,5.09,1.67,-0.15,2021-01-15 13:52:01
기아자동차,000270,71100,215.57,0.99,1.77,2020/09,-0.33,0.34,0.66,4.01,2021-01-15 13:52:02
대유플러스,000300,784,30.98,0.72,0.69,2020/09,1.6,0.33,,,2021-01-15 13:52:02
노루홀딩스,000320,10750,13.74,0.25,0.67,2020/09,0.24,0.69,,,2021-01-15 13:52:02
한화손해보험,000370,3805,30.85,0.23,0.3,2020/09,6.39,-0.47,,,2021-01-15 13:52:02
삼화페인트공업,000390,12650,115.33,1.18,2.43,2020/09,0.62,-0.09,,,2021-01-15 13:52:02
