Name,Code,Price,PER,PBR,PSR,Date,YoY,QoQ,EYoY,EQoQ,reg_date
대원강업,000430,4120,41.2,0.45,1.15,2020/09,0.94,-1.75,,,2021-01-15 13:52:03
조선내화,000480,80800,67.33,0.45,1.83,2020/09,1.3,-11.5,,,2021-01-15 13:52:03
대동공업,000490,7960,49.7,0.55,0.97,2020/09,-0.23,-0.78,,,2021-01-15 13:52:03
가온전선,000500,22850,95.06,0.36,0.48,2020/09,1.07,-0.46,,,2021-01-15 13:52:03
삼일제약,000520,20300,-679.54,2.06,4.37,2020/09,4.0,-0.52,,,2021-01-15 13:52:04
CS홀딩스,000590,59900,36.38,0.23,2.3,2020/09,-0.3,-0.4,,,2021-01-15 13:52:05
동아쏘시오홀딩스,000640,130000,62.34,1.06,3.85,2020/09,-0.1,0.25,0.11,-0.21,2021-01-15 13:52:05
SK하이닉스,000660,127500,86.11,1.84,11.42,2020/09,1.75,-0.33,2.75,-0.32,2021-01-15 13:52:06
영풍,000670,544000,20.83,0.27,1.15,2020/09,0.36,3.75,,,2021-01-15 13:52:06
LS네트웍스,000680,2710,53.39,0.41,2.89,2020/09,2.98,3.69,,,2021-01-15 13:52:06
유수홀딩스,000700,5680,-52.83,0.45,1.75,2020/09,-1.15,1.0,,,2021-01-15 13:52:06
현대건설,000720,42800,56.87,0.54,1.18,2020/09,-0.42,-0.09,-0.01,0.21,2021-01-15 13:52:07
이화산업,000760,15150,-18.44,0.24,3.82,2020/09,1.33,-22.0,,,2021-01-15 13:52:07
삼성화재해상보험,000810,186000,44.35,0.58,1.72,2020/09,0.23,-0.28,,,2021-01-15 13:52:08
화천기공,000850,32850,-103.24,0.24,2.22,2020/09,-1.71,-3.0,,,2021-01-15 13:52:08
강남제비스코,000860,21150,25.46,0.24,1.63,2020/09,-1.37,-0.64,,,2021-01-15 13:52:08
한화,000880,31200,5.7,0.12,0.2,2020/09,0.64,0.27,2.39,-0.39,2021-01-15 13:52:08
보해양조,000890,956,304.6,1.49,5.94,2020/09,2.0,-0.25,,,2021-01-15 13:52:08
유니온,000910,5900,11.37,0.6,1.96,2020/09,-0.58,-0.5,,,2021-01-15 13:52:09
전방,000950,31900,-8.93,0.81,2.35,2020/09,-0.18,0.43,,,2021-01-15 13:52:09
한국주철관공업,000970,8450,160.56,0.7,2.08,2020/09,-0.63,-0.6,,,2021-01-15 13:52:09
DB하이텍,000990,59900,56.59,3.4,11.05,2020/09,0.09,-0.13,0.23,-0.12,2021-01-15 13:52:09
페이퍼코리아,001020,2695,-18.58,4.35,1.04,2020/09,-0.26,-0.76,,,2021-01-15 13:52:09
CJ,001040,116500,23.95,0.22,0.41,2020/09,0.01,0.2,0.06,-0.08,2021-01-15 13:52:10
JW중외제약,001060,33400,239.81,3.34,5.25,2020/09,-0.96,-1.02,,,2021-01-15 13:52:10
대한방직,001070,39650,525.36,1.63,4.75,2020/09,-2.0,1.0,,,2021-01-15 13:52:10
만호제강,001080,21200,879.8,0.38,1.92,2020/09,-1.5,0.0,,,2021-01-15 13:52:10
LG상사,001120,26650,25.01,0.57,0.33,2020/09,0.2,0.15,20.94,0.07,2021-01-15 13:52:10
대한제분,001130,152000,44.29,0.33,1.05,2020/09,-0.27,-0.56,,,2021-01-15 13:52:11
국보,001140,1825,-56.32,2.23,3.35,2020/09,-0.23,-0.76,,,2021-01-15 13:52:11
유진증권,001200,4530,34.55,0.52,5.48,2020/09,-0.12,-0.52,,,2021-01-15 13:52:11
금호전기,001210,3000,-7.99,2.3,3.78,2020/09,0.23,3.22,,,2021-01-15 13:52:11
동국제강,001230,8850,22.83,0.4,0.65,2020/09,0.51,-0.14,-4.38,-0.22,2021-01-15 13:52:11
GS글로벌,001250,2265,81.28,0.48,0.29,2020/09,-0.44,-0.48,,,2021-01-15 13:52:11
남광토건,001260,13750,54.06,2.29,2.94,2020/09,1.0,1.08,,,2021-01-15 13:52:11
부국증권,001270,21250,11.54,0.41,4.07,2020/09,1.83,0.19,,,2021-01-15 13:52:12
상상인증권,001290,1190,-67.28,0.69,24.33,2020/09,-0.56,-1.55,,,2021-01-15 13:52:12
백광산업,001340,4290,240.87,1.11,4.34,2020/09,-0.67,-0.67,,,2021-01-15 13:52:12
SG충방,001380,2705,243.26,0.94,5.03,2020/09,-12.0,6.33,,,2021-01-15 13:52:12
KG케미칼,001390,23400,-761.26,0.21,0.33,2020/09,0.76,0.06,,,2021-01-15 13:52:13
세아베스틸,001430,12000,-30.31,0.22,0.75,2020/09,46.75,-2.01,3.29,-1.63,2021-01-15 13:52:13
대한전선,001440,1330,-37.84,3.49,3.48,2020/09,-0.33,-0.78,,,2021-01-15 13:52:13
현대해상,001450,22350,14.27,0.4,0.56,2020/09,-0.95,-0.96,,,2021-01-15 13:52:14
BYC,001460,334000,90.76,0.47,5.67,2020/09,-0.05,-0.32,,,2021-01-15 13:52:14
삼부토건,001470,3760,49.25,2.48,4.42,2020/09,-0.09,-0.55,,,2021-01-15 13:52:15
현대차증권,001500,14250,10.3,0.39,4.18,2020/09,1.89,0.33,,,2021-01-15 13:52:15
SK증권,001510,921,39.93,0.77,6.03,2020/09,2.23,3.34,,,2021-01-15 13:52:15
동양,001520,1275,-160.17,0.38,2.07,2020/09,-0.73,-1.47,,,2021-01-15 13:52:16
디아이동일,001530,169500,78.87,0.77,1.87,2020/09,0.02,-0.3,,,2021-01-15 13:52:16
제일연마,001560,7030,63.91,0.83,3.91,2020/09,-0.4,1.25,,,2021-01-15 13:52:16
금양,001570,6010,-88.24,3.17,6.33,2020/09,-0.67,-0.4,,,2021-01-15 13:52:16
케이비아이동국실업,001620,720,31.7,0.28,0.34,2020/09,-0.97,-0.99,,,2021-01-15 13:52:17
종근당홀딩스,001630,118000,22.39,0.73,2.69,2020/09,-0.14,-0.15,,,2021-01-15 13:52:17
대상,001680,28000,25.4,0.86,1.16,2020/09,0.35,-0.06,0.55,-0.58,2021-01-15 13:52:17
신영증권,001720,54700,11.83,0.41,5.0,2020/09,8.26,-0.18,,,2021-01-15 13:52:17
SK네트웍스,001740,5040,147.16,0.55,0.49,2020/09,-0.45,0.46,-2.94,1.27,2021-01-15 13:52:17
알루코,001780,5050,29.18,1.31,3.36,2020/09,5.35,1.7,,,2021-01-15 13:52:18
대한제당,001790,20900,19.94,0.4,0.6,2020/09,0.44,1.42,,,2021-01-15 13:52:18
오리온홀딩스,001800,13150,13.01,0.24,1.37,2020/09,0.01,0.29,,,2021-01-15 13:52:18
삼화콘덴서공업,001820,76000,105.34,4.59,12.08,2020/09,0.38,0.32,5.23,-0.11,2021-01-15 13:52:18
KISCO홀딩스,001940,14450,12.96,0.19,1.06,2020/09,0.03,-0.41,,,2021-01-15 13:52:19
코오롱,002020,22250,10.11,0.34,0.23,2020/09,0.61,0.05,,,2021-01-15 13:52:19
아세아,002030,92200,11.68,0.13,0.56,2020/09,-0.11,-0.17,,,2021-01-15 13:52:19
비비안,002070,5510,-86.66,1.26,3.19,2020/09,-1.0,-1.0,,,2021-01-15 13:52:19
경농,002100,13100,-54.65,1.32,8.28,2020/09,-0.31,-2.74,,,2021-01-15 13:52:19
고려산업,002140,4370,41.92,1.08,2.28,2020/09,0.62,0.26,,,2021-01-15 13:52:19
도화엔지니어링,002150,8250,309.1,1.1,2.12,2020/09,0.59,-0.33,-0.02,3.22,2021-01-15 13:52:20
삼양통상,002170,64100,15.14,0.54,3.84,2020/09,0.06,-0.03,,,2021-01-15 13:52:20
한국수출포장공업,002200,23100,61.6,0.36,1.4,2020/09,-0.65,-0.57,,,2021-01-15 13:52:20
한일철강,002220,2290,-11.79,0.37,0.7,2020/09,1.62,0.5,,,2021-01-15 13:52:21
고려제강,002240,15200,499.43,0.24,0.96,2020/09,0.34,-1.36,,,2021-01-15 13:52:22
롯데푸드,002270,347500,37.46,0.51,0.83,2020/09,-0.01,0.49,2.75,-0.78,2021-01-15 13:52:22
아세아제지,002310,39500,45.95,0.58,2.02,2020/09,-0.58,-0.46,,,2021-01-15 13:52:22
한진,002320,46950,423.66,0.57,1.09,2020/09,0.09,-0.03,0.24,0.09,2021-01-15 13:52:23
넥센타이어,002350,6220,-50.62,0.39,1.3,2020/09,-0.9,-1.26,-0.2,4.57,2021-01-15 13:52:23
SH에너지화학,002360,950,-175.96,1.16,4.84,2020/09,8.0,-0.75,,,2021-01-15 13:52:23
케이씨씨,002380,202500,-14.29,0.37,1.45,2020/09,-0.64,-0.62,0.82,0.88,2021-01-15 13:52:23
한독,002390,30950,29.79,1.14,3.2,2020/09,0.45,0.43,0.26,-0.07,2021-01-15 13:52:24
범양건영,002410,5270,62.32,1.75,4.39,2020/09,-0.46,0.42,,,2021-01-15 13:52:24
삼익악기,002450,1505,113.54,0.6,2.29,2020/09,-0.58,0.85,,,2021-01-15 13:52:24
화성산업,002460,12400,44.11,0.39,2.21,2020/09,-0.65,-0.82,,,2021-01-15 13:52:24
제일파마홀딩스,002620,20050,188.39,0.65,1.69,2020/09,-0.38,-0.6,,,2021-01-15 13:52:25
오리엔트바이오,002630,1950,-25.41,4.25,19.27,2020/09,-0.91,5.0,,,2021-01-15 13:52:25
TCC스틸,002710,5520,90.69,1.09,1.19,2020/09,-0.76,-0.62,,,2021-01-15 13:52:25
국제약품,002720,9850,258.93,2.4,5.41,2020/09,0.0,-0.08,,,2021-01-15 13:52:26
아모레퍼시픽그룹,002790,62500,736.23,0.81,4.26,2020/09,-0.49,0.69,-0.68,-0.67,2021-01-15 13:52:26
삼영무역,002810,13900,25.67,0.62,2.5,2020/09,2.71,0.29,,,2021-01-15 13:52:26
선창산업,002820,4540,-19.08,0.26,0.58,2020/09,-0.84,-1.37,,,2021-01-15 13:52:26
미원상사,002840,128000,49.31,2.51,8.63,2020/09,0.34,-0.01,,,2021-01-15 13:52:27
신풍제지,002870,2950,-85.94,1.7,19.1,2020/09,-1.46,0.05,,,2021-01-15 13:52:27
대유에이텍,002880,914,4.74,0.4,0.23,2020/09,1.47,2.72,,,2021-01-15 13:52:27
동양물산기업,002900,1650,41.58,1.25,1.13,2020/09,21.75,-0.35,,,2021-01-15 13:52:27
유성기업,002920,3050,,0.26,1.34,2020/09,-1.95,-0.43,,,2021-01-15 13:52:27
금호산업,002990,9450,78.68,0.89,0.71,2020/09,0.43,0.31,0.33,-0.03,2021-01-15 13:52:27
부광약품,003000,26050,-272.42,5.89,41.91,2020/09,-1.05,-0.9,,,2021-01-15 13:52:28
혜인,003010,5200,20.66,0.7,1.33,2020/09,-0.16,0.68,,,2021-01-15 13:52:28
세아제강지주,003030,46000,10.95,0.14,0.36,2020/09,0.04,0.68,,,2021-01-15 13:52:28
에이프로젠제약,003060,1255,75.79,0.84,37.33,2020/09,-0.38,-0.29,,,2021-01-15 13:52:28
코오롱글로벌,003070,18800,16.07,0.91,0.48,2020/09,0.78,0.06,0.05,-0.14,2021-01-15 13:52:28
성보화학,003080,4345,-108.73,0.6,14.5,2020/09,0.04,2.12,,,2021-01-15 13:52:28
대웅,003090,59000,200.61,3.28,9.72,2020/09,0.27,0.4,,,2021-01-15 13:52:29
디아이,003160,5570,60.5,1.25,3.14,2020/09,1.59,-0.08,,,2021-01-15 13:52:29
일신방직,003200,84500,-96.57,0.28,1.86,2020/09,-1.56,-1.88,,,2021-01-15 13:52:29
대원제약,003220,18650,111.04,1.81,4.99,2020/09,-0.4,-0.32,0.09,1.26,2021-01-15 13:52:29
삼양식품,003230,100000,42.8,2.19,4.51,2020/09,0.11,-0.21,0.15,0.04,2021-01-15 13:52:29
태광산업,003240,842000,24.86,0.28,2.26,2020/09,-0.94,-0.78,,,2021-01-15 13:52:30
흥아해운,003280,258,-2.74,2.81,1.45,2020/09,-0.42,-1.49,,,2021-01-15 13:52:30
한일홀딩스,003300,10600,8.97,0.18,0.88,2020/09,1.35,-0.26,,,2021-01-15 13:52:30
쌍용양회공업,003410,6530,143.68,1.91,9.52,2020/09,0.02,-0.4,0.06,0.36,2021-01-15 13:52:30
유안타증권,003470,3380,17.85,0.51,4.42,2020/09,1.85,1.32,,,2021-01-15 13:52:30
한진중공업홀딩스,003480,4815,-21.22,0.39,1.41,2020/09,1.04,-0.36,,,2021-01-15 13:52:31
대한항공,003490,32150,-172.87,1.71,3.51,2020/09,-1.28,-1.28,-6.15,-4.25,2021-01-15 13:52:31
한화투자증권,003530,2995,13.88,0.53,5.1,2020/09,2.46,0.39,,,2021-01-15 13:52:31
대신증권,003540,13150,9.3,0.32,3.66,2020/09,25.47,-5.74,,,2021-01-15 13:52:31
LG,003550,106000,24.01,0.87,9.35,2020/09,1.16,1.13,-8.91,-0.32,2021-01-15 13:52:31
아이에이치큐,003560,1560,-207.39,1.76,12.67,2020/09,-0.67,-0.19,,,2021-01-15 13:52:32
S&T중공업,003570,6010,-999.25,0.33,3.34,2020/09,-1.33,-1.26,,,2021-01-15 13:52:32
넥스트사이언스,003580,5310,-30.54,1.65,19.0,2020/09,-0.09,12.0,,,2021-01-15 13:52:32
방림,003610,2135,56.46,0.47,3.03,2020/09,-9.5,0.42,,,2021-01-15 13:52:32
쌍용자동차,003620,2770,-4.05,4.24,0.59,2020/09,-0.11,-0.2,,,2021-01-15 13:52:32
미창석유공업,003650,64700,28.87,0.42,1.78,2020/09,0.22,-0.21,,,2021-01-15 13:52:32
포스코케미칼,003670,129000,1140.21,7.79,20.24,2020/09,-0.31,3.73,0.07,0.28,2021-01-15 13:52:32
코리안리,003690,7680,47.65,0.38,0.44,2020/09,-0.52,-0.74,,,2021-01-15 13:52:33
삼영화학공업,003720,3275,185.58,2.4,4.2,2020/09,-1.25,-0.83,,,2021-01-15 13:52:33
진양산업,003780,4890,21.19,1.43,3.63,2020/09,0.23,0.52,,,2021-01-15 13:52:33
보령제약,003850,22550,152.64,3.43,7.59,2020/09,0.03,0.27,0.41,-0.27,2021-01-15 13:52:33
남양유업,003920,306000,-30.18,0.25,0.9,2020/09,15.22,0.22,,,2021-01-15 13:52:33
사조대림,003960,17000,7.79,0.35,0.33,2020/09,0.07,1.48,,,2021-01-15 13:52:33
롯데정밀화학,004000,55500,59.41,0.91,4.52,2020/09,-0.5,-0.24,-0.38,0.16,2021-01-15 13:52:34
현대제철,004020,43300,-129.27,0.34,1.3,2020/09,-0.02,1.39,-1.68,2.01,2021-01-15 13:52:34
SG세계물산,004060,657,-33.25,0.68,2.88,2020/09,-1.92,-0.21,,,2021-01-15 13:52:34
신흥,004080,11350,121.07,1.16,3.66,2020/09,0.89,1.83,,,2021-01-15 13:52:34
한국석유공업,004090,102000,33.41,0.48,0.56,2020/09,1.47,-0.22,,,2021-01-15 13:52:35
태양금속공업,004100,1210,5.48,0.56,0.43,2020/09,-3.0,-2.26,,,2021-01-15 13:52:35
동방,004140,5290,8.88,1.77,1.39,2020/09,-0.28,-0.02,,,2021-01-15 13:52:35
한솔홀딩스,004150,3745,25.37,0.32,1.23,2020/09,-0.92,-0.89,,,2021-01-15 13:52:35
엔피씨,004250,3345,25.07,0.42,1.14,2020/09,-0.18,0.26,,,2021-01-15 13:52:35
남성,004270,4220,382.04,1.81,5.92,2020/09,1.4,-7.0,,,2021-01-15 13:52:35
세방,004360,14200,48.1,0.32,1.44,2020/09,-0.75,-0.75,,,2021-01-15 13:52:36
농심,004370,297500,61.35,0.88,2.78,2020/09,0.58,-0.29,0.19,-0.17,2021-01-15 13:52:36
송원산업,004430,16100,44.41,0.84,1.98,2020/09,0.13,-0.02,1.12,0.1,2021-01-15 13:52:36
삼화왕관,004450,38500,-18.03,0.58,2.36,2020/09,0.0,0.04,,,2021-01-15 13:52:37
세방전지,004490,87500,63.14,1.08,3.88,2020/09,-0.17,0.36,,,2021-01-15 13:52:37
깨끗한나라,004540,4235,26.29,0.83,1.08,2020/09,0.82,-0.43,,,2021-01-15 13:52:37
현대비앤지스틸,004560,11000,20.23,0.4,0.96,2020/09,0.46,1.56,,,2021-01-15 13:52:37
삼천리,004690,82900,-34.3,0.24,0.65,2020/09,-2.57,-1.48,-0.78,-2.45,2021-01-15 13:52:37
한솔테크닉스,004710,10950,71.76,1.23,0.97,2020/09,0.23,0.29,,,2021-01-15 13:52:38
우리들제약,004720,10250,60.32,1.93,6.36,2020/09,0.0,-0.95,,,2021-01-15 13:52:38
써니전자,004770,4675,74.05,2.59,36.2,2020/09,-0.86,-0.5,,,2021-01-15 13:52:38
효성,004800,77000,-20.77,0.65,2.25,2020/09,1.11,1.58,-0.13,0.33,2021-01-15 13:52:38
덕성,004830,8220,67.84,1.94,3.44,2020/09,24.0,4.0,,,2021-01-15 13:52:38
DRB동일,004840,7290,66.04,0.31,1.22,2020/09,-0.48,0.0,,,2021-01-15 13:52:39
티웨이홀딩스,004870,1160,-2.68,0.72,1.77,2020/09,1.94,-0.35,,,2021-01-15 13:52:39
동일산업,004890,76400,80.55,0.52,2.52,2020/09,-2.0,-1.62,,,2021-01-15 13:52:39
조광페인트,004910,6210,10.19,0.39,1.53,2020/09,-1.44,-1.57,,,2021-01-15 13:52:39
씨아이테크,004920,894,4.42,0.68,2.34,2020/09,3.0,-13.0,,,2021-01-15 13:52:39
한신공영,004960,18450,14.72,0.38,0.63,2020/09,0.11,0.02,,,2021-01-15 13:52:40
신라교역,004970,9590,80.76,0.29,1.65,2020/09,-0.31,-0.4,,,2021-01-15 13:52:40
성신양회,004980,7520,-23.05,0.47,1.17,2020/09,-5.21,-1.25,,,2021-01-15 13:52:40
롯데지주,004990,36400,24.18,0.46,1.46,2020/09,0.4,1.12,0.09,-0.64,2021-01-15 13:52:40
휴스틸,005010,7590,-82.64,0.15,0.78,2020/09,-1.67,-1.07,,,2021-01-15 13:52:40
SGC에너지,005090,38400,-66.57,0.79,2.73,2020/09,-0.31,-0.25,,,2021-01-15 13:52:41
한창,005110,1525,-101.85,2.01,7.28,2020/09,-1.17,-1.17,,,2021-01-15 13:52:41
빙그레,005180,58000,38.09,0.94,2.07,2020/09,0.02,-0.22,-0.0,-1.07,2021-01-15 13:52:41
동성화학,005190,15950,20.26,0.65,1.86,2020/09,-0.18,0.39,0.04,-0.25,2021-01-15 13:52:41
녹십자홀딩스,005250,47200,43.44,1.43,4.76,2020/09,0.19,3.92,,,2021-01-15 13:52:42
롯데칠성음료,005300,123500,29.64,0.8,1.53,2020/09,0.19,0.99,-1.57,-0.93,2021-01-15 13:52:42
국동,005320,4055,26.17,1.54,2.0,2020/09,-2.5,-0.55,,,2021-01-15 13:52:42
모나미,005360,5450,1029.89,1.44,3.23,2020/09,-1.8,-1.67,,,2021-01-15 13:52:42
현대자동차,005380,240000,-271.61,0.68,1.86,2020/09,-1.83,-1.53,0.48,-6.51,2021-01-15 13:52:43
신성통상,005390,1650,-76.49,1.02,0.87,2020/09,-1.11,-1.15,,,2021-01-15 13:52:43
코스모화학,005420,12900,-306.21,1.51,4.02,2020/09,-1.36,-0.17,,,2021-01-15 13:52:43
한국공항,005430,40750,-15.93,0.46,1.96,2020/09,-2.15,-0.49,,,2021-01-15 13:52:43
현대그린푸드,005440,8940,35.95,0.4,1.08,2020/09,-0.22,0.06,2.12,-0.35,2021-01-15 13:52:44
포스코,005490,275000,46.65,0.5,1.68,2020/09,-0.36,2.98,0.5,0.25,2021-01-15 13:52:44
SPC삼립,005610,74500,642.86,2.14,0.98,2020/09,4.78,0.43,0.22,0.7,2021-01-15 13:52:44
삼영전자공업,005680,10250,62.12,0.42,3.95,2020/09,0.86,-0.3,,,2021-01-15 13:52:44
넥센,005720,4640,-88.73,0.12,0.46,2020/09,-0.78,-1.68,,,2021-01-15 13:52:45
크라운해태홀딩스,005740,8740,10.38,0.27,0.59,2020/09,-0.1,-0.44,,,2021-01-15 13:52:45
대림비앤코,005750,5720,476.82,0.63,1.65,2020/09,-0.5,2.0,,,2021-01-15 13:52:45
신영와코루,005800,99700,39.01,0.29,1.74,2020/09,0.92,1.5,,,2021-01-15 13:52:45
풍산홀딩스,005810,30600,27.56,0.33,2.95,2020/09,7.18,-12.25,,,2021-01-15 13:52:45
원림,005820,19800,2.61,0.33,2.49,2020/09,22.0,0.92,,,2021-01-15 13:52:46
DB손해보험,005830,43150,21.29,0.46,0.79,2020/09,-0.03,-0.32,,,2021-01-15 13:52:46
에스엘,005850,18150,37.39,0.62,1.28,2020/09,87.0,-4.14,2.29,-0.13,2021-01-15 13:52:46
대한해운,005880,3315,578.4,0.89,3.67,2020/09,0.02,0.14,1.02,-0.06,2021-01-15 13:52:46
NH투자증권,005940,11750,13.8,0.57,5.63,2020/09,2.01,0.19,1.82,-0.45,2021-01-15 13:52:47
이수화학,005950,15350,25.3,0.77,1.07,2020/09,0.8,0.07,-1.9,-0.48,2021-01-15 13:52:47
동부건설,005960,13550,11.23,0.69,1.06,2020/09,-0.55,-0.52,0.01,2.88,2021-01-15 13:52:47
동원산업,006040,252500,13.56,0.74,1.27,2020/09,0.6,0.04,2.21,-0.32,2021-01-15 13:52:47
화승인더스트리,006060,6850,130.67,0.61,1.39,2020/09,-0.63,-0.33,,,2021-01-15 13:52:47
삼아알미늄,006110,12200,268.4,1.22,2.83,2020/09,-0.33,-0.45,,,2021-01-15 13:52:48
SK디스커버리,006120,61200,14.88,0.45,1.19,2020/09,-0.27,-0.12,,,2021-01-15 13:52:48
한국전자홀딩스,006200,928,39.48,0.18,0.71,2020/09,-16.0,-2.5,,,2021-01-15 13:52:48
제주은행,006220,3830,32.38,0.24,2.75,2020/09,-0.31,-0.4,,,2021-01-15 13:52:48
LS,006260,71900,37.4,0.53,0.9,2020/09,0.24,0.23,4.56,0.18,2021-01-15 13:52:48
녹십자,006280,415500,76.59,3.92,11.57,2020/09,0.37,2.25,-1.65,-0.76,2021-01-15 13:52:48
대원전선,006340,1380,,1.15,1.09,2020/09,0.33,-0.73,,,2021-01-15 13:52:48
GS건설,006360,41900,32.65,0.78,1.45,2020/09,0.12,0.27,0.12,-0.02,2021-01-15 13:52:49
대구백화점,006370,8560,-27.25,0.36,4.35,2020/09,0.28,1.39,,,2021-01-15 13:52:49
삼성SDI,006400,737000,210.55,3.91,16.42,2020/09,0.61,1.58,15.05,0.21,2021-01-15 13:52:49
인스코비,006490,2300,134.82,6.82,14.41,2020/09,4.0,-1.62,,,2021-01-15 13:52:49
대림통상,006570,4185,-19.91,0.75,1.72,2020/09,-20.0,1.38,,,2021-01-15 13:52:50
대한유화,006650,281000,33.7,0.99,4.2,2020/09,0.04,-0.13,5.14,0.15,2021-01-15 13:52:50
삼성공조,006660,9070,245.68,0.34,5.19,2020/09,-0.69,-0.33,,,2021-01-15 13:52:50
영풍제지,006740,5890,145.29,1.05,5.69,2020/09,-0.61,-0.63,,,2021-01-15 13:52:50
미래에셋대우,006800,10100,28.22,0.68,10.26,2020/09,0.72,-0.24,0.51,-0.22,2021-01-15 13:52:50
AK홀딩스,006840,26300,-6.59,0.28,0.54,2020/09,-2.19,-0.54,,,2021-01-15 13:52:50
신송홀딩스,006880,4055,43.61,0.52,1.08,2020/09,-1.91,0.0,,,2021-01-15 13:52:50
태경케미컬,006890,13900,100.77,1.37,14.02,2020/09,5.67,0.33,,,2021-01-15 13:52:51
우성사료,006980,3230,58.71,0.58,0.95,2020/09,-0.45,-0.45,,,2021-01-15 13:52:51
GS리테일,007070,35700,41.59,1.04,1.17,2020/09,-0.13,0.33,-0.09,-0.42,2021-01-15 13:52:51
미래아이앤지,007120,456,196.82,0.67,45.42,2020/09,0.0,1.0,,,2021-01-15 13:52:51
사조산업,007160,34250,14.76,0.34,1.12,2020/09,-0.58,-0.44,,,2021-01-15 13:52:52
벽산,007210,2635,200.73,0.62,1.67,2020/09,-2.0,-0.17,,,2021-01-15 13:52:52
오뚜기,007310,573000,187.86,1.47,3.09,2020/09,0.63,0.13,0.38,-0.52,2021-01-15 13:52:52
디티알오토모티브,007340,27600,15.85,0.43,1.22,2020/09,0.07,8.56,,,2021-01-15 13:52:52
에이프로젠 KIC,007460,1960,10.1,0.5,10.81,2020/09,4.0,1.5,,,2021-01-15 13:52:52
샘표,007540,50200,11.93,0.5,1.67,2020/09,0.56,0.04,,,2021-01-15 13:52:52
일양약품,007570,59100,141.0,4.63,10.99,2020/09,0.28,0.52,,,2021-01-15 13:52:53
동방아그로,007590,6390,-37.83,0.6,4.81,2020/09,-0.17,-1.87,,,2021-01-15 13:52:53
선도전기,007610,3310,33.1,0.69,2.98,2020/09,-2.0,-0.45,,,2021-01-15 13:52:53
폴루스바이오팜,007630,1225,-240.79,0.85,43.78,2020/09,-0.9,-0.89,,,2021-01-15 13:52:53
이수페타시스,007660,3845,-1586.75,2.05,1.06,2020/09,0.91,0.29,,,2021-01-15 13:52:53
국도화학,007690,51400,38.29,0.55,1.05,2020/09,0.17,-0.37,,,2021-01-15 13:52:53
F&F,007700,101000,182.99,3.08,9.75,2020/09,-0.61,-0.39,-0.17,3.66,2021-01-15 13:52:54
코리아써키트,007810,14350,84.74,0.66,1.14,2020/09,0.6,4.69,0.16,-0.02,2021-01-15 13:52:54
서연,007860,9950,1168.13,0.28,0.39,2020/09,20.17,-6.4,,,2021-01-15 13:52:54
태평양물산,007980,2050,21.46,0.58,0.34,2020/09,-0.48,-2.88,-2.56,-1.18,2021-01-15 13:52:54
사조동아원,008040,1040,31.23,0.72,1.38,2020/09,0.81,-0.33,,,2021-01-15 13:52:54
