"동화약품","000020","26,750","79.48","2.48","2.43","2019"
"KR모터스","000040","840","-1.11","1.29","0.34","2019"
"경방","000050","11,550","7.26","0.43","0.92","2019"
"메리츠화재","000060","12,800","4.83","0.6","0.18","2019"
"삼양홀딩스","000070","65,400","9.03","0.28","0.23","2019"
"하이트진로","000080","37,350","-61.78","2.54","1.29","2019"
"유한양행","000100","66,600","121.66","2.7","3.01","2019"
"CJ대한통운","000120","156,500","70.14","0.98","0.34","2019"
"하이트진로홀딩스","000140","17,150","-9.93","0.41","0.2","2019"
"두산","000150","52,300","2.0","0.13","0.05","2019"
"성창기업지주","000180","1,660","-10.62","0.22","0.77","2019"
"대림산업","000210","87,200","4.27","0.45","0.31","2019"
"유유제약","000220","18,900","21.5","1.33","1.32","2019"
"일동홀딩스","000230","9,910","-2.86","0.36","0.39","2019"
"한국테크놀로지그룹","000240","15,450","8.8","0.43","1.7","2019"
"기아자동차","000270","42,300","9.39","0.59","0.29","2019"
"대유플러스","000300","797","2.8","0.5","0.16","2019"
"노루홀딩스","000320","9,210","6.15","0.22","0.14","2019"
"한화손해보험","000370","2,810","-4.75","0.22","0.05","2019"
"삼화페인트공업","000390","5,180","35.12","0.49","0.25","2019"
"롯데손해보험","000400","1,605","-9.73","0.52","0.21","2019"
"대원강업","000430","3,345","9.78","0.35","0.22","2019"
"조선내화","000480","71,600","8.89","0.41","0.38","2019"
"대동공업","000490","6,970","55.13","0.75","0.2","2019"
"가온전선","000500","25,500","19.29","0.41","0.13","2019"
"삼일제약","000520","25,250","205.16","2.63","1.36","2019"
"흥국화재","000540","2,425","4.06","0.22","0.05","2019"
"CS홀딩스","000590","56,100","3.9","0.23","0.48","2019"
"동아쏘시오홀딩스","000640","105,500","32.38","0.87","0.84","2019"
"천일고속","000650","64,300","131.26","1.8","1.54","2019"
"SK하이닉스","000660","78,400","28.31","1.19","2.11","2019"
"영풍","000670","483,000","4.29","0.24","0.29","2019"
"LS네트웍스","000680","2,285","-2.61","0.35","0.45","2019"
"유수홀딩스","000700","5,220","-54.38","0.41","0.37","2019"
"현대건설","000720","32,300","6.27","0.41","0.21","2019"
"이화산업","000760","15,200","-8.87","0.24","0.69","2019"
"삼성화재해상보험","000810","189,000","13.87","0.63","0.46","2019"
"화천기공","000850","31,100","9.12","0.23","0.33","2019"
"강남제비스코","000860","16,150","6.03","0.19","0.32","2019"
"한화","000880","28,750","9.33","0.12","0.04","2019"
"보해양조","000890","867","-7.43","1.37","1.44","2019"
"유니온","000910","9,350","-11.59","1.02","0.69","2019"
"전방","000950","28,400","-1.18","0.57","0.35","2019"
"한국주철관공업","000970","8,910","28.22","0.76","0.49","2019"
"DB하이텍","000990","39,000","16.55","2.69","2.14","2019"
"페이퍼코리아","001020","1,720","-1.85","3.94","0.19","2019"
"CJ","001040","81,700","7.36","0.16","0.07","2019"
"JW중외제약","001060","37,950","-31.38","3.45","1.55","2019"
"대한방직","001070","34,300","-11.36","1.44","1.16","2019"
"만호제강","001080","15,850","59.8","0.29","0.31","2019"
"LG상사","001120","15,200","-39.54","0.38","0.06","2019"
"대한제분","001130","163,500","16.25","0.36","0.3","2019"
"국보","001140","2,495","-7.77","1.37","0.67","2019"
"유진증권","001200","3,950","9.26","0.48","1.56","2019"
"금호전기","001210","3,305","-1.02","2.01","0.54","2019"
"동국제강","001230","6,050","-7.07","0.3","0.1","2019"
"GS글로벌","001250","1,725","-8.53","0.37","0.04","2019"
"남광토건","001260","10,400","26.21","1.93","0.43","2019"
"부국증권","001270","20,500","7.76","0.44","1.82","2019"
"상상인증권","001290","1,000","-12.01","0.63","5.79","2019"
"백광산업","001340","3,315","9.31","0.89","0.88","2019"
"삼성제약","001360","4,145","35.44","1.71","5.48","2019"
"SG충방","001380","1,980","111.29","0.68","0.71","2019"
"KG케미칼","001390","21,900","1.3","0.21","0.14","2019"
"태원물산","001420","3,570","54.26","0.84","1.24","2019"
"세아베스틸","001430","10,050","18.77","0.18","0.12","2019"
"대한전선","001440","891","-60.56","2.44","0.49","2019"
"현대해상","001450","22,600","7.51","0.45","0.15","2019"
"BYC","001460","242,500","5.45","0.35","0.89","2019"
"삼부토건","001470","1,495","27.5","1.01","0.9","2019"
"현대차증권","001500","10,050","4.11","0.3","1.17","2019"
"SK증권","001510","750","11.36","0.62","1.56","2019"
"동양","001520","1,160","-120.38","0.34","0.51","2019"
"디아이동일","001530","92,300","8.65","0.43","0.24","2019"
"조비","001550","22,800","-1183.78","2.47","1.67","2019"
"제일연마","001560","6,510","10.17","0.78","0.8","2019"
"금양","001570","5,570","-22.51","3.59","1.42","2019"
"케이비아이동국실업","001620","604","132.96","0.23","0.06","2019"
"종근당홀딩스","001630","116,500","7.36","0.79","0.81","2019"
"대상","001680","27,500","8.75","0.93","0.32","2019"
"신영증권","001720","47,750","5.75","0.38","1.97","2019"
"SK네트웍스","001740","4,945","-10.01","0.53","0.09","2019"
"한양증권","001750","8,640","4.95","0.37","1.01","2019"
"신화실업","001770","19,500","23.69","0.69","0.32","2019"
"알루코","001780","4,430","-48.55","1.15","0.73","2019"
"대한제당","001790","18,650","11.45","0.36","0.14","2019"
"오리온홀딩스","001800","12,800","5.13","0.24","0.38","2019"
"삼화콘덴서공업","001820","59,600","20.79","4.03","2.43","2019"
"대림건설","001880","26,100","4.17","0.87","0.31","2019"
"KISCO홀딩스","001940","11,700","3.44","0.16","0.18","2019"
"코오롱","002020","23,150","-30.77","0.4","0.07","2019"
"아세아","002030","80,400","1.86","0.12","0.11","2019"
"비비안","002070","4,920","-28.16","0.67","0.34","2019"
"경농","002100","14,500","78.63","1.56","1.38","2019"
"고려산업","002140","3,835","20.35","1.0","0.5","2019"
"도화엔지니어링","002150","7,630","14.79","1.02","0.5","2019"
"삼양통상","002170","58,300","3.96","0.53","0.91","2019"
"한국수출포장공업","002200","17,950","3.99","0.29","0.26","2019"
