Name,Code,Price,PER,PBR,PSR,Year
CJ프레시웨이,051500,"17,950",-8.7,0.82,0.08,2020
EDGC,245620,"11,350",NAN,NAN,NAN,2020
GST,083450,"16,900",NAN,NAN,NAN,2020
GS홈쇼핑,028150,"139,500",7.43,0.74,0.72,2020
ITX-AI,099520,"2,950",NAN,NAN,NAN,2020
JW신약,067290,"5,540",NAN,NAN,NAN,2020
KB오토시스,024120,"6,450",NAN,NAN,NAN,2020
KH바텍,060720,"18,050",38.4,2.09,1.96,2020
SK5호스팩,337450,"2,005",NAN,NAN,NAN,2020
SK6호스팩,340350,"2,000",NAN,NAN,NAN,2020
TJ미디어,032540,"2,935",NAN,NAN,NAN,2020
YW,051390,"3,695",NAN,NAN,NAN,2020
경창산업,024910,"1,910",NAN,NAN,NAN,2020
고려시멘트,198440,"3,030",NAN,NAN,NAN,2020
골프존,215000,"69,900",10.99,1.96,1.5,2020
교보8호스팩,307280,"2,235",NAN,NAN,NAN,2020
국순당,043650,"5,080",NAN,NAN,NAN,2020
그리티,204020,"3,215",NAN,NAN,NAN,2020
나노브릭,286750,"19,000",NAN,NAN,NAN,2020
나스미디어,089600,"31,500",13.13,1.53,2.49,2020
네오티스,085910,"3,840",NAN,NAN,NAN,2020
네이처셀,007390,"9,130",NAN,NAN,NAN,2020
녹십자셀,031390,"41,150",NAN,NAN,NAN,2020
뉴인텍,012340,"2,805",NAN,NAN,NAN,2020
뉴프렉스,085670,"2,215",NAN,NAN,NAN,2020
대봉엘에스,078140,"11,100",NAN,NAN,NAN,2020
대유,290380,"12,700",NAN,NAN,NAN,2020
대유에이피,290120,"7,180",NAN,NAN,NAN,2020
대주산업,003310,"2,720",NAN,NAN,NAN,2020
대한약품,023910,"30,400",NAN,NAN,NAN,2020
동구바이오제약,006620,"22,550",NAN,NAN,NAN,2020
동방선기,099410,"3,900",NAN,NAN,NAN,2020
디에이테크놀로지,196490,"6,590",NAN,NAN,NAN,2020
디에이피,066900,"4,595",NAN,NAN,NAN,2020
디엔에이링크,127120,"12,650",NAN,NAN,NAN,2020
디엔에프,092070,"14,800",NAN,NAN,NAN,2020
디오,039840,"31,400",26.64,2.95,4.0,2020
디오스텍,196450,411,NAN,NAN,NAN,2020
디지탈옵틱,106520,809,NAN,NAN,NAN,2020
디지틀조선,033130,"2,800",NAN,NAN,NAN,2020
룽투코리아,060240,"5,030",NAN,NAN,NAN,2020
링크제니시스,219420,"7,140",NAN,NAN,NAN,2020
메디톡스,086900,"241,600",-412.58,3.76,9.26,2020
메이슨캐피탈,021880,473,-6.8,1.51,-19.55,2020
메탈라이프,327260,"18,300",NAN,NAN,NAN,2020
모비스,250060,"2,575",NAN,NAN,NAN,2020
모트렉스,118990,"6,660",NAN,NAN,NAN,2020
미래SCI,028040,279,NAN,NAN,NAN,2020
미스터블루,207760,"10,750",16.36,4.57,3.07,2020
미코바이오메드,214610,"11,400",NAN,NAN,NAN,2020
바디텍메드,206640,"26,150",12.52,4.91,4.57,2020
바이넥스,053030,"29,400",NAN,NAN,NAN,2020
브랜드엑스코퍼레이션,337930,"11,750",10.36,5.54,1.04,2020
삼보판지,023600,"8,820",NAN,NAN,NAN,2020
삼본전자,111870,"1,710",NAN,NAN,NAN,2020
삼아제약,009300,"18,350",NAN,NAN,NAN,2020
상지카일룸,042940,"1,305",NAN,NAN,NAN,2020
서암기계공업,100660,"5,740",NAN,NAN,NAN,2020
성창오토텍,080470,"8,860",NAN,NAN,NAN,2020
세보엠이씨,011560,"5,640",NAN,NAN,NAN,2020
세종메디칼,258830,"11,200",NAN,NAN,NAN,2020
세코닉스,053450,"6,060",-4.26,0.74,0.19,2020
셀루메드,049180,"5,980",NAN,NAN,NAN,2020
셀바스헬스케어,208370,"2,400",NAN,NAN,NAN,2020
셀트리온제약,068760,"125,400",NAN,NAN,NAN,2020
스튜디오산타클로스,204630,"2,080",NAN,NAN,NAN,2020
스페코,013810,"12,450",17.05,3.68,2.02,2020
승일,049830,"8,260",NAN,NAN,NAN,2020
시스웍,269620,"3,470",NAN,NAN,NAN,2020
심텍,222800,"18,000",6.23,1.68,0.37,2020
쌍용정보통신,010280,"1,480",NAN,NAN,NAN,2020
씨유메디칼,115480,"2,340",NAN,NAN,NAN,2020
씨케이에이치,900120,379,-0.42,0.12,0.66,2020
아나패스,123860,"23,250",NAN,NAN,NAN,2020
아바텍,149950,"8,510",NAN,NAN,NAN,2020
아이센스,099190,"27,350",NAN,NAN,NAN,2020
아이씨디,040910,"15,650",5.61,1.43,0.82,2020
아이씨케이,068940,"3,590",NAN,NAN,NAN,2020
