"애니플러스","310200","1,525","-20.06","8.74","1.85","2019"
"에스아이리소스","065420","639","-3.75","3.59","3.23","2019"
"에스코넥","096630","1,990","-10.65","1.42","0.51","2019"
"에쎈테크","043340","1,120","-161.28","2.9","1.56","2019"
"에이루트","096690","4,890","47.26","0.42","1.21","2019"
"에이티넘인베스트","021080","2,245","16.08","1.35","5.04","2019"
"엑시콘","092870","12,300","-20.62","1.46","2.86","2019"
"엔피케이","048830","1,640","-38.38","0.76","0.47","2019"
"엠게임","058630","5,710","14.49","2.8","2.97","2019"
"엠벤처투자","019590","947","6.26","1.48","3.75","2019"
"엠씨넥스","097520","39,200","8.29","3.12","0.55","2019"
"영화테크","265560","15,600","-55.59","1.84","1.87","2019"
"오공","045060","5,100","11.37","1.07","0.57","2019"
"오스템임플란트","048260","40,000","-25.97","6.93","1.01","2019"
"오픈베이스","049480","3,400","76.31","1.46","0.68","2019"
"옵티시스","109080","9,670","19.46","1.44","2.77","2019"
"와이지-원","019210","4,270","217.58","0.39","0.31","2019"
"우리바이오","082850","3,820","28.13","1.35","0.1","2019"
"원익QnC","074600","17,050","124.5","1.56","1.7","2019"
"원익큐브","014190","1,770","16.49","0.78","0.31","2019"
"원풍물산","008290","2,310","-17.09","2.07","2.3","2019"
"웨이브일렉트로","095270","9,240","-2.77","6.2","2.73","2019"
"웰크론","065950","7,110","-8.33","1.83","0.51","2019"
"위지트","036090","819","30.25","0.87","2.1","2019"
"유니온커뮤니티","203450","4,260","15.25","1.81","1.53","2019"
"유니테크노","241690","10,400","22.55","1.87","1.51","2019"
"유비쿼스홀딩스","078070","31,750","42.71","2.33","5.28","2019"
"유신","054930","15,100","-7.31","0.56","0.27","2019"
"유안타제5호스팩","336060","1,995","NAN","1.03","NAN","2019"
"유진스팩5호","331380","2,000","NAN","1.07","NAN","2019"
"유테크","178780","3,975","-16.84","4.4","2.25","2019"
"유티아이","179900","15,450","50.02","3.97","3.88","2019"
"이스트소프트","047560","6,870","-4.22","1.25","0.99","2019"
"이스트아시아홀딩스","900110","342","12.03","0.19","0.41","2019"
"이엠넷","123570","4,465","12.28","1.6","2.71","2019"
"이지웰","090850","7,880","36.85","4.76","2.1","2019"
"인베니아","079950","2,295","44.37","1.18","0.36","2019"
"인텍플러스","064290","15,200","35.26","8.73","4.7","2019"
"자비스","254120","1,795","-4.59","2.19","1.96","2019"
"자이글","234920","3,190","-1.44","0.83","1.45","2019"
"정상제이엘에스","040420","6,090","12.4","1.49","1.02","2019"
"제넨바이오","072520","5,560","-9.42","18.25","20.0","2019"
"제우스","079370","16,350","11.96","0.74","0.52","2019"
"제이엠티","094970","2,905","48.65","0.88","0.58","2019"
"제이웨이","058420","1,010","-6.94","1.63","1.83","2019"
"제일제강","023440","1,705","-14.37","0.82","2.0","2019"
"제주반도체","080220","3,075","-17.97","0.98","0.54","2019"
"젬백스","082270","21,600","-9.03","8.75","19.47","2019"
"조아제약","034940","5,480","-141.71","3.02","2.31","2019"
"주성엔지니어링","036930","7,240","13.13","1.41","1.35","2019"
"지엔씨에너지","119850","7,240","14.57","1.27","0.7","2019"
"지엔코","065060","1,250","-5.67","0.83","0.79","2019"
"캐스텍코리아","071850","2,700","-7.85","0.37","0.24","2019"
"케이비제20호스팩","342550","2,000","NAN","1.67","NAN","2019"
"케이피엠테크","042040","1,415","-3.8","1.25","7.57","2019"
"케이피티유","054410","5,450","-34.47","0.84","1.13","2019"
"켄코아에어로스페이스","274090","7,890","-7.93","1.79","1.3","2019"
"코렌","078650","910","-4.47","0.77","0.57","2019"
"코윈테크","282880","22,200","12.01","1.99","2.25","2019"
"코프라","126600","3,640","8.54","0.7","0.42","2019"
"키네마스터","139670","10,600","1435.88","11.49","7.4","2019"
"토탈소프트","045340","4,920","16.19","3.73","3.57","2019"
"투비소프트","079970","2,080","-2.58","1.16","1.36","2019"
"트루윈","105550","3,370","-12.61","1.63","1.36","2019"
"특수건설","026150","6,380","121.26","1.12","0.5","2019"
"티앤알바이오팹","246710","14,450","-19.15","4.86","92.79","2019"
"티에스이","131290","39,450","27.27","2.24","2.28","2019"
"파세코","037070","11,750","19.13","2.17","0.91","2019"
"파커스","065690","2,910","-10.69","0.49","0.4","2019"
"판타지오","032800","969","-4.46","3.23","3.81","2019"
"패션플랫폼","225590","1,145","7.44","0.78","0.38","2019"
"푸드웰","005670","5,040","1.57","0.61","0.35","2019"
"프로스테믹스","203690","4,375","-62.45","7.06","28.15","2019"
"플리트 엔터테인먼트","204630","2,380","-11.95","1.65","1.68","2019"
"피델릭스","032580","1,390","-30.46","1.02","0.65","2019"
"피에스엠씨","024850","797","-34.29","1.62","0.7","2019"
"하나금융15호스팩","341160","2,015","NAN","1.41","NAN","2019"
"하이즈항공","221840","3,585","17.15","0.82","0.86","2019"
"한국맥널티","222980","7,350","-91.42","2.41","1.71","2019"
"한국코퍼레이션","050540","282","-1.03","0.28","0.09","2019"
"한양디지텍","078350","5,870","-4.59","2.03","0.86","2019"
"한일진공","123840","655","-1.17","0.38","1.41","2019"
"한일화학","007770","9,210","19.02","0.35","0.3","2019"
"해덕파워웨이","102210","1,100","-6.05","0.73","2.14","2019"
"현대바이오","048410","11,550","500.2","8.51","13.29","2019"
"화성밸브","039610","6,000","21.54","0.86","0.92","2019"
"휴맥스","115160","4,940","5.82","0.28","0.1","2019"
"APS홀딩스","054620","8,890","-39.41","0.84","7.81","2019"
"CJ ENM","035760","130,200","48.72","0.91","0.75","2019"
"CMG제약","058820","4,725","211.7","3.64","11.2","2019"
"CS","065770","2,815","-106.04","2.43","1.65","2019"
"CSA 코스믹","083660","3,945","-10.25","4.72","1.21","2019"
"EG","037370","8,390","-104.88","1.87","0.94","2019"
"HRS","036640","3,800","62.15","0.85","0.93","2019"
"MP그룹","065150","1,315","-37.95","3.0","0.97","2019"
"NICE평가정보","030190","18,000","26.79","4.87","2.66","2019"
"PI첨단소재","178920","31,300","51.93","3.66","4.11","2019"
"PN풍년","024940","4,320","8.0","1.13","0.79","2019"
"SCI평가정보","036120","4,900","34.11","7.13","3.31","2019"
"SM C&C","048550","1,750","43.32","1.41","0.99","2019"
"UCI","038340","2,690","-10.36","2.39","4.76","2019"
"감마누","192410","4,020","31.92","2.0","3.06","2019"
"강스템바이오텍","217730","7,960","-6.29","2.42","27.66","2019"
"게임빌","063080","39,650","22.16","1.03","2.18","2019"
"경남바이오파마","044480","3,955","-14.21","0.56","1.36","2019"
"경남제약헬스케어","223310","3,320","-7.51","0.69","2.39","2019"
"고영","098460","87,000","40.32","4.9","5.37","2019"
"광림","014200","1,610","-6.09","0.94","0.58","2019"
"국영지앤엠","006050","3,305","104.84","2.18","1.58","2019"
"나노엔텍","039860","14,900","69.36","9.64","15.03","2019"
"나이벡","138610","27,150","-99.58","9.81","28.91","2019"
"남화토건","091590","13,950","32.11","1.18","3.05","2019"
"네오팜","092730","28,400","12.14","2.21","2.8","2019"
"넥스턴","089140","8,610","17.59","1.02","3.15","2019"
"넵튠","217270","12,600","-14.16","4.75","16.36","2019"
"노바렉스","194700","41,900","26.02","4.11","2.37","2019"
"녹원씨엔아이","065560","5,970","-10.08","1.35","1.49","2019"
"누리텔레콤","040160","8,090","10.96","1.43","0.66","2019"
"뉴파워프라즈마","144960","7,030","54.72","2.14","4.82","2019"
"대성파인텍","104040","1,485","35.76","0.87","1.24","2019"
"대아티아이","045390","6,180","191.18","4.55","3.85","2019"
"대주전자재료","078600","45,550","-946.85","8.07","5.69","2019"
"대창솔루션","096350","371","-12.4","0.9","0.91","2019"
"덕산네오룩스","213420","35,550","44.46","5.34","8.72","2019"
"데브시스터즈","194480","8,160","-6.58","0.89","2.43","2019"
"동아엘텍","088130","8,830","6.15","0.45","0.46","2019"
"디알텍","214680","1,560","84.89","2.04","1.6","2019"
"디엠티","134580","1,970","-5.15","0.9","0.68","2019"
"딜리","131180","1,460","20.41","0.74","1.06","2019"
"럭슬","033600","179","-0.27","0.18","0.13","2018"
"레드로버","060300","610","-0.35","5.95","2.8","2019"
"레드캡투어","038390","15,550","6.02","0.81","0.52","2019"
"레이언스","228850","12,000","14.43","1.02","1.58","2019"
"로보로보","215100","5,210","84.3","3.77","6.72","2019"
"매일홀딩스","005990","8,120","1.66","0.19","0.07","2019"
"머큐리","100590","11,150","71.57","2.32","1.48","2019"
"메디앙스","014100","4,195","1.24","0.61","0.5","2019"
"메타바이오메드","059210","2,915","19.32","1.27","1.17","2019"
"멕아이씨에스","058110","40,150","-126.64","51.26","16.69","2019"
"모두투어","080160","12,100","99.43","1.5","0.77","2019"
"무림SP","001810","2,260","35.74","0.24","0.36","2019"
"미래에셋대우스팩3호","328380","2,010","NAN","1.03","NAN","2019"
"미래에셋벤처투자","100790","3,940","13.04","1.18","1.97","2019"
"미코","059090","18,700","26.62","3.47","2.48","2019"
"바른테크놀로지","029480","1,645","-15.64","4.39","2.74","2019"
"부스타","008470","5,030","12.08","0.57","0.44","2019"
"비즈니스온","138580","15,650","33.95","4.0","9.51","2019"
"비트컴퓨터","032850","12,450","29.15","4.21","5.53","2019"
"사람인에이치알","143240","23,000","10.52","2.41","2.86","2019"
"삼륭물산","014970","8,200","206.71","1.73","1.4","2019"
"삼양옵틱스","225190","9,340","6.93","2.4","1.48","2019"
"삼영이엔씨","065570","7,940","-7.43","0.93","1.89","2019"
"삼일","032280","1,910","9.38","0.48","0.32","2019"
"삼일기업공사","002290","2,935","11.03","0.62","0.48","2019"
"삼지전자","037460","13,100","6.31","0.64","0.14","2019"
"삼진","032750","9,600","4.76","0.75","0.43","2019"
"삼화네트웍스","046390","1,570","96.55","1.94","1.25","2019"
