Name,Code,Price,PER,PBR,PSR,Year
동화약품,000020,"21,850",NAN,NAN,NAN,2020
KR모터스,000040,767,NAN,NAN,NAN,2020
경방,000050,"10,550",NAN,NAN,NAN,2020
메리츠화재,000060,"12,850",4.71,0.56,NAN,2020
삼양홀딩스,000070,"64,000",NAN,NAN,NAN,2020
하이트진로,000080,"36,250",22.8,2.33,1.11,2020
유한양행,000100,"64,200",21.39,2.38,2.73,2020
CJ대한통운,000120,"177,500",33.97,1.08,0.37,2020
하이트진로홀딩스,000140,"16,950",NAN,NAN,NAN,2020
두산,000150,"46,850",-4.36,0.13,0.04,2020
성창기업지주,000180,"1,635",NAN,NAN,NAN,2020
대림산업,000210,"77,400",3.21,0.36,0.25,2020
유유제약,000220,"16,000",NAN,NAN,NAN,2020
일동홀딩스,000230,"9,110",NAN,NAN,NAN,2020
한국테크놀로지그룹,000240,"16,750",12.42,0.45,1.96,2020
기아자동차,000270,"46,900",12.88,0.63,0.33,2020
대유플러스,000300,811,NAN,NAN,NAN,2020
노루홀딩스,000320,"9,120",6.73,0.21,0.14,2020
한화손해보험,000370,"2,865",NAN,NAN,NAN,2020
삼화페인트공업,000390,"4,925",NAN,NAN,NAN,2020
롯데손해보험,000400,"1,645",NAN,NAN,NAN,2020
대원강업,000430,"4,085",NAN,NAN,NAN,2020
조선내화,000480,"73,100",NAN,NAN,NAN,2020
대동공업,000490,"6,510",NAN,NAN,NAN,2020
가온전선,000500,"21,550",NAN,NAN,NAN,2020
삼일제약,000520,"23,300",NAN,NAN,NAN,2020
흥국화재,000540,"2,715",NAN,NAN,NAN,2020
CS홀딩스,000590,"53,200",NAN,NAN,NAN,2020
동아쏘시오홀딩스,000640,"125,000",13.63,0.97,0.94,2020
천일고속,000650,"65,000",NAN,NAN,NAN,2020
SK하이닉스,000660,"84,000",16.51,1.2,1.96,2020
영풍,000670,"469,000",4.45,0.22,0.26,2020
LS네트웍스,000680,"2,150",NAN,NAN,NAN,2020
유수홀딩스,000700,"5,290",NAN,NAN,NAN,2020
현대건설,000720,"30,450",6.22,0.37,0.2,2020
이화산업,000760,"14,050",NAN,NAN,NAN,2020
삼성화재해상보험,000810,"182,000",10.77,0.59,NAN,2020
화천기공,000850,"30,600",NAN,NAN,NAN,2020
강남제비스코,000860,"15,300",NAN,NAN,NAN,2020
한화,000880,"25,150",2.35,0.1,0.04,2020
보해양조,000890,900,NAN,NAN,NAN,2020
유니온,000910,"7,730",NAN,NAN,NAN,2020
전방,000950,"26,750",NAN,NAN,NAN,2020
한국주철관공업,000970,"8,360",13.62,0.69,0.44,2020
DB하이텍,000990,"37,500",8.36,2.01,1.74,2020
페이퍼코리아,001020,"1,695",NAN,NAN,NAN,2020
CJ,001040,"81,200",3.89,0.15,0.07,2020
JW중외제약,001060,"33,600",NAN,NAN,NAN,2020
대한방직,001070,"34,000",NAN,NAN,NAN,2020
만호제강,001080,"14,800",47.25,0.26,0.31,2020
LG상사,001120,"15,450",1.79,0.32,0.06,2020
대한제분,001130,"158,000",NAN,NAN,NAN,2020
국보,001140,"1,990",NAN,NAN,NAN,2020
유진증권,001200,"3,610",NAN,NAN,NAN,2020
금호전기,001210,"4,820",NAN,NAN,NAN,2020
동국제강,001230,"6,340",-13.45,0.31,0.12,2020
GS글로벌,001250,"1,665",NAN,NAN,NAN,2020
남광토건,001260,"10,100",NAN,NAN,NAN,2020
부국증권,001270,"20,400",NAN,NAN,NAN,2020
상상인증권,001290,981,NAN,NAN,NAN,2020
백광산업,001340,"3,405",NAN,NAN,NAN,2020
삼성제약,001360,"3,865",NAN,NAN,NAN,2020
SG충방,001380,"1,835",NAN,NAN,NAN,2020
KG케미칼,001390,"20,100",NAN,NAN,NAN,2020
태원물산,001420,"3,960",NAN,NAN,NAN,2020
세아베스틸,001430,"9,760",11.11,0.18,0.14,2020
대한전선,001440,809,NAN,NAN,NAN,2020
현대해상,001450,"22,350",5.06,0.42,NAN,2020
BYC,001460,"225,500",NAN,NAN,NAN,2020
삼부토건,001470,"1,775",NAN,NAN,NAN,2020
현대차증권,001500,"10,100",3.24,0.28,1.06,2020
SK증권,001510,722,NAN,NAN,NAN,2020
동양,001520,"1,085",NAN,NAN,NAN,2020
디아이동일,001530,"87,100",NAN,NAN,NAN,2020
조비,001550,"21,550",NAN,NAN,NAN,2020
제일연마,001560,"6,670",NAN,NAN,NAN,2020
금양,001570,"5,060",NAN,NAN,NAN,2020
케이비아이동국실업,001620,617,NAN,NAN,NAN,2020
종근당홀딩스,001630,"106,500",4.43,0.63,0.59,2020
대상,001680,"26,000",6.7,0.79,0.29,2020
신영증권,001720,"46,800",21.64,0.38,2.94,2020
SK네트웍스,001740,"4,755",8.91,0.5,0.11,2020
한양증권,001750,"8,400",NAN,NAN,NAN,2020
신화실업,001770,"19,750",NAN,NAN,NAN,2020
알루코,001780,"3,895",NAN,NAN,NAN,2020
대한제당,001790,"18,100",NAN,NAN,NAN,2020
오리온홀딩스,001800,"12,150",NAN,NAN,NAN,2020
삼화콘덴서공업,001820,"54,800",19.58,3.15,2.28,2020
대림건설,001880,"24,050",NAN,NAN,NAN,2020
KISCO홀딩스,001940,"11,700",NAN,NAN,NAN,2020
코오롱,002020,"21,000",NAN,NAN,NAN,2020
아세아,002030,"75,800",NAN,NAN,NAN,2020
비비안,002070,"4,100",NAN,NAN,NAN,2020
경농,002100,"13,450",NAN,NAN,NAN,2020
고려산업,002140,"3,480",NAN,NAN,NAN,2020
도화엔지니어링,002150,"7,630",NAN,NAN,NAN,2020
삼양통상,002170,"61,900",NAN,NAN,NAN,2020
한국수출포장공업,002200,"17,950",NAN,NAN,NAN,2020
동성제약,002210,"12,400",NAN,NAN,NAN,2020
한일철강,002220,"1,685",NAN,NAN,NAN,2020
고려제강,002240,"13,250",NAN,NAN,NAN,2020
롯데푸드,002270,"299,500",NAN,NAN,NAN,2020
아세아제지,002310,"24,800",NAN,NAN,NAN,2020
한진,002320,"43,050",40.91,0.45,0.24,2020
넥센타이어,002350,"5,350",12.81,0.33,0.3,2020
SH에너지화학,002360,806,42.65,0.89,0.64,2020
케이씨씨,002380,"146,000",160.55,0.33,0.31,2020
한독,002390,"31,900",NAN,NAN,NAN,2020
범양건영,002410,"6,000",NAN,NAN,NAN,2020
세기상사,002420,"61,600",NAN,NAN,NAN,2020
