"동화약품","000020","23,050","68.49","2.14","2.1","2019"
"KR모터스","000040","686","-0.91","1.05","0.28","2019"
"경방","000050","10,500","6.6","0.39","0.84","2019"
"메리츠화재","000060","12,800","4.83","0.6","0.18","2019"
"삼양홀딩스","000070","64,400","8.9","0.27","0.22","2019"
"하이트진로","000080","36,650","-60.62","2.49","1.26","2019"
"유한양행","000100","67,400","123.12","2.73","3.04","2019"
"CJ대한통운","000120","149,500","67.0","0.93","0.33","2019"
"하이트진로홀딩스","000140","17,850","-10.33","0.42","0.2","2019"
"두산","000150","43,400","1.66","0.11","0.04","2019"
"성창기업지주","000180","1,570","-10.05","0.21","0.73","2019"
"대림산업","000210","89,200","4.37","0.46","0.32","2019"
"유유제약","000220","16,700","18.99","1.18","1.17","2019"
"일동홀딩스","000230","10,200","-2.94","0.37","0.4","2019"
"한국테크놀로지그룹","000240","15,150","8.63","0.42","1.66","2019"
"기아자동차","000270","42,750","9.49","0.6","0.3","2019"
"대유플러스","000300","584","2.06","0.37","0.12","2019"
"노루홀딩스","000320","9,130","6.1","0.21","0.14","2019"
"한화손해보험","000370","2,745","-4.64","0.22","0.05","2019"
"삼화페인트공업","000390","4,900","33.22","0.46","0.24","2019"
"롯데손해보험","000400","1,590","-9.64","0.51","0.2","2019"
"대원강업","000430","3,065","8.96","0.32","0.2","2019"
"조선내화","000480","71,300","8.86","0.41","0.38","2019"
"대동공업","000490","6,350","50.22","0.68","0.18","2019"
"가온전선","000500","18,000","13.61","0.29","0.09","2019"
"삼일제약","000520","20,500","166.56","2.14","1.1","2019"
"흥국화재","000540","2,190","3.66","0.2","0.05","2019"
"CS홀딩스","000590","53,700","3.73","0.22","0.46","2019"
"동아쏘시오홀딩스","000640","103,000","31.61","0.85","0.82","2019"
"천일고속","000650","60,900","124.32","1.71","1.46","2019"
"SK하이닉스","000660","77,800","28.09","1.18","2.1","2019"
"영풍","000670","482,500","4.29","0.24","0.29","2019"
"LS네트웍스","000680","2,030","-2.32","0.31","0.4","2019"
"유수홀딩스","000700","5,400","-56.25","0.43","0.38","2019"
"현대건설","000720","32,650","6.34","0.42","0.21","2019"
"이화산업","000760","14,650","-8.55","0.23","0.66","2019"
"삼성화재해상보험","000810","184,000","13.5","0.61","0.45","2019"
"화천기공","000850","30,250","8.87","0.22","0.32","2019"
"강남제비스코","000860","14,800","5.53","0.17","0.29","2019"
"한화","000880","26,100","8.47","0.11","0.04","2019"
"보해양조","000890","818","-7.01","1.29","1.36","2019"
"유니온","000910","8,600","-10.66","0.94","0.63","2019"
"전방","000950","28,250","-1.18","0.56","0.35","2019"
"한국주철관공업","000970","8,850","28.03","0.75","0.48","2019"
"DB하이텍","000990","35,550","15.09","2.45","1.95","2019"
"페이퍼코리아","001020","1,525","-1.64","3.49","0.17","2019"
"CJ","001040","82,300","7.42","0.16","0.07","2019"
"JW중외제약","001060","38,050","-31.46","3.46","1.56","2019"
"대한방직","001070","33,800","-11.2","1.42","1.15","2019"
"만호제강","001080","15,100","56.97","0.27","0.3","2019"
"LG상사","001120","14,800","-38.5","0.37","0.05","2019"
"대한제분","001130","170,500","16.95","0.38","0.31","2019"
"국보","001140","2,670","-8.31","1.46","0.72","2019"
"유진증권","001200","3,530","8.28","0.43","1.39","2019"
"금호전기","001210","3,190","-0.99","1.94","0.52","2019"
"동국제강","001230","6,220","-7.27","0.31","0.1","2019"
"GS글로벌","001250","1,610","-7.96","0.35","0.03","2019"
"남광토건","001260","10,050","25.33","1.87","0.42","2019"
"부국증권","001270","19,850","7.51","0.42","1.76","2019"
"상상인증권","001290","1,015","-12.19","0.64","5.88","2019"
"백광산업","001340","3,420","9.6","0.92","0.91","2019"
"삼성제약","001360","3,870","33.09","1.6","5.12","2019"
"SG충방","001380","1,845","103.7","0.64","0.66","2019"
"KG케미칼","001390","21,600","1.28","0.21","0.14","2019"
"태원물산","001420","3,400","51.68","0.8","1.18","2019"
"세아베스틸","001430","9,720","18.16","0.18","0.12","2019"
"대한전선","001440","689","-46.83","1.89","0.38","2019"
"현대해상","001450","22,400","7.44","0.44","0.15","2019"
"BYC","001460","243,500","5.47","0.35","0.89","2019"
"삼부토건","001470","902","16.59","0.61","0.54","2019"
"현대차증권","001500","9,900","4.05","0.29","1.15","2019"
"SK증권","001510","750","11.36","0.62","1.56","2019"
"동양","001520","1,145","-118.82","0.33","0.51","2019"
"디아이동일","001530","88,100","8.26","0.41","0.23","2019"
"조비","001550","23,100","-1199.35","2.5","1.69","2019"
"제일연마","001560","6,290","9.83","0.75","0.78","2019"
"금양","001570","4,135","-16.71","2.67","1.05","2019"
"케이비아이동국실업","001620","581","127.9","0.22","0.06","2019"
"종근당홀딩스","001630","117,500","7.42","0.8","0.82","2019"
"대상","001680","29,350","9.34","0.99","0.34","2019"
"신영증권","001720","46,100","5.55","0.37","1.9","2019"
"SK네트웍스","001740","5,080","-10.28","0.55","0.1","2019"
"한양증권","001750","8,690","4.98","0.38","1.01","2019"
"신화실업","001770","19,700","23.94","0.7","0.32","2019"
"알루코","001780","3,815","-41.81","0.99","0.63","2019"
"대한제당","001790","18,600","11.42","0.35","0.14","2019"
"오리온홀딩스","001800","13,300","5.33","0.25","0.4","2019"
"삼화콘덴서공업","001820","54,200","18.91","3.66","2.21","2019"
"대림건설","001880","25,450","4.06","0.84","0.3","2019"
"KISCO홀딩스","001940","11,500","3.38","0.16","0.18","2019"
"코오롱","002020","23,000","-30.57","0.4","0.07","2019"
"아세아","002030","75,400","1.75","0.11","0.11","2019"
