Name,Code,Price,PER,PBR,PSR,Year
동화약품,000020,"18,050",NAN,NAN,NAN,2020
KR모터스,000040,"1,035",NAN,NAN,NAN,2020
경방,000050,"12,450",NAN,NAN,NAN,2020
메리츠화재,000060,"15,150",4.46,0.65,NAN,2020
삼양홀딩스,000070,"67,800",NAN,NAN,NAN,2020
하이트진로,000080,"33,750",20.27,2.17,1.02,2020
유한양행,000100,"64,800",20.45,2.36,2.72,2020
CJ대한통운,000120,"164,000",28.98,0.98,0.34,2020
하이트진로홀딩스,000140,"15,650",NAN,NAN,NAN,2020
두산,000150,"49,100",-4.57,0.14,0.05,2020
성창기업지주,000180,"1,995",NAN,NAN,NAN,2020
대림산업,000210,"82,800",3.21,0.38,0.28,2020
유유제약,000220,"14,700",NAN,NAN,NAN,2020
일동홀딩스,000230,"9,150",NAN,NAN,NAN,2020
한국테크놀로지그룹,000240,"16,300",12.08,0.44,1.91,2020
기아자동차,000270,"58,200",16.46,0.79,0.4,2020
대유플러스,000300,848,NAN,NAN,NAN,2020
노루홀딩스,000320,"9,700",7.16,0.22,0.15,2020
한화손해보험,000370,"2,990",NAN,NAN,NAN,2020
삼화페인트공업,000390,"8,650",NAN,NAN,NAN,2020
롯데손해보험,000400,"1,800",NAN,NAN,NAN,2020
대원강업,000430,"3,995",NAN,NAN,NAN,2020
조선내화,000480,"79,900",NAN,NAN,NAN,2020
대동공업,000490,"6,830",NAN,NAN,NAN,2020
가온전선,000500,"21,750",NAN,NAN,NAN,2020
삼일제약,000520,"21,650",NAN,NAN,NAN,2020
흥국화재,000540,"2,785",NAN,NAN,NAN,2020
CS홀딩스,000590,"56,900",NAN,NAN,NAN,2020
동아쏘시오홀딩스,000640,"144,500",21.42,1.14,1.1,2020
천일고속,000650,"69,200",NAN,NAN,NAN,2020
SK하이닉스,000660,"98,000",19.43,1.4,2.27,2020
영풍,000670,"517,000",4.91,0.25,0.29,2020
LS네트웍스,000680,"2,230",NAN,NAN,NAN,2020
유수홀딩스,000700,"5,490",NAN,NAN,NAN,2020
현대건설,000720,"34,050",8.16,0.42,0.22,2020
이화산업,000760,"14,850",NAN,NAN,NAN,2020
삼성화재해상보험,000810,"202,500",12.33,0.64,1654.04,2020
화천기공,000850,"31,600",NAN,NAN,NAN,2020
강남제비스코,000860,"18,100",NAN,NAN,NAN,2020
한화,000880,"26,950",2.2,0.1,0.04,2020
보해양조,000890,"1,040",NAN,NAN,NAN,2020
유니온,000910,"6,170",NAN,NAN,NAN,2020
전방,000950,"31,500",NAN,NAN,NAN,2020
한국주철관공업,000970,"8,390",13.66,0.69,0.44,2020
DB하이텍,000990,"33,750",8.0,1.83,1.6,2020
페이퍼코리아,001020,"1,710",NAN,NAN,NAN,2020
CJ,001040,"80,000",3.68,0.15,0.07,2020
JW중외제약,001060,"32,250",NAN,NAN,NAN,2020
대한방직,001070,"36,000",NAN,NAN,NAN,2020
만호제강,001080,"19,800",63.21,0.35,0.42,2020
LG상사,001120,"18,400",2.07,0.38,0.07,2020
대한제분,001130,"155,000",NAN,NAN,NAN,2020
국보,001140,"2,090",NAN,NAN,NAN,2020
유진증권,001200,"4,115",NAN,NAN,NAN,2020
금호전기,001210,"3,930",NAN,NAN,NAN,2020
동국제강,001230,"6,940",-18.2,0.33,0.13,2020
GS글로벌,001250,"1,850",NAN,NAN,NAN,2020
남광토건,001260,"10,200",NAN,NAN,NAN,2020
부국증권,001270,"23,000",NAN,NAN,NAN,2020
상상인증권,001290,"1,070",NAN,NAN,NAN,2020
백광산업,001340,"3,300",NAN,NAN,NAN,2020
삼성제약,001360,"3,740",NAN,NAN,NAN,2020
SG충방,001380,"2,230",NAN,NAN,NAN,2020
KG케미칼,001390,"19,000",NAN,NAN,NAN,2020
태원물산,001420,"3,975",NAN,NAN,NAN,2020
세아베스틸,001430,"10,350",37.87,0.19,0.15,2020
대한전선,001440,908,NAN,NAN,NAN,2020
현대해상,001450,"24,350",5.85,0.46,NAN,2020
BYC,001460,"273,500",NAN,NAN,NAN,2020
삼부토건,001470,"5,470",NAN,NAN,NAN,2020
현대차증권,001500,"12,500",4.01,0.34,1.31,2020
SK증권,001510,765,NAN,NAN,NAN,2020
동양,001520,"1,210",NAN,NAN,NAN,2020
디아이동일,001530,"84,700",NAN,NAN,NAN,2020
조비,001550,"20,150",NAN,NAN,NAN,2020
제일연마,001560,"6,940",NAN,NAN,NAN,2020
금양,001570,"5,290",NAN,NAN,NAN,2020
케이비아이동국실업,001620,635,NAN,NAN,NAN,2020
종근당홀딩스,001630,"102,000",4.58,0.61,0.58,2020
대상,001680,"25,450",6.42,0.77,0.28,2020
신영증권,001720,"51,200",23.67,0.41,3.22,2020
SK네트웍스,001740,"4,755",10.1,0.51,0.11,2020
한양증권,001750,"9,680",NAN,NAN,NAN,2020
신화실업,001770,"20,350",NAN,NAN,NAN,2020
알루코,001780,"4,705",NAN,NAN,NAN,2020
대한제당,001790,"20,900",NAN,NAN,NAN,2020
오리온홀딩스,001800,"13,500",NAN,NAN,NAN,2020
삼화콘덴서공업,001820,"56,700",22.67,3.33,2.35,2020
대림건설,001880,"25,500",NAN,NAN,NAN,2020
KISCO홀딩스,001940,"12,850",NAN,NAN,NAN,2020
코오롱,002020,"21,550",NAN,NAN,NAN,2020
아세아,002030,"84,100",NAN,NAN,NAN,2020
비비안,002070,"3,450",NAN,NAN,NAN,2020
경농,002100,"12,800",NAN,NAN,NAN,2020
고려산업,002140,"4,050",NAN,NAN,NAN,2020
도화엔지니어링,002150,"7,690",11.63,0.98,0.43,2020
삼양통상,002170,"64,000",NAN,NAN,NAN,2020
한국수출포장공업,002200,"20,600",NAN,NAN,NAN,2020
동성제약,002210,"11,450",NAN,NAN,NAN,2020
한일철강,002220,"1,690",NAN,NAN,NAN,2020
고려제강,002240,"14,800",NAN,NAN,NAN,2020
롯데푸드,002270,"331,500",5.04,0.49,0.22,2020
아세아제지,002310,"33,750",NAN,NAN,NAN,2020
한진,002320,"49,250",35.35,0.54,0.28,2020
넥센타이어,002350,"5,640",18.55,0.35,0.32,2020
SH에너지화학,002360,818,NAN,NAN,NAN,2020
케이씨씨,002380,"169,500",186.4,0.39,0.36,2020
한독,002390,"32,800",18.35,1.24,0.9,2020
범양건영,002410,"5,600",NAN,NAN,NAN,2020
세기상사,002420,"61,600",NAN,NAN,NAN,2020
삼익악기,002450,"1,425",NAN,NAN,NAN,2020
화성산업,002460,"12,450",NAN,NAN,NAN,2020
조흥,002600,"175,000",NAN,NAN,NAN,2020
제일파마홀딩스,002620,"23,950",NAN,NAN,NAN,2020
오리엔트바이오,002630,"1,435",-12.59,2.81,3.87,2020
동일제강,002690,"2,375",NAN,NAN,NAN,2020
신일전자,002700,"1,880",NAN,NAN,NAN,2020
TCC스틸,002710,"3,675",NAN,NAN,NAN,2020
국제약품,002720,"10,350",NAN,NAN,NAN,2020
보락,002760,"2,750",NAN,NAN,NAN,2020
진흥기업,002780,"2,430",NAN,NAN,NAN,2020
아모레퍼시픽그룹,002790,"50,600",35.91,0.65,0.84,2020
삼영무역,002810,"14,000",NAN,NAN,NAN,2020
선창산업,002820,"4,455",NAN,NAN,NAN,2020
미원상사,002840,"110,000",NAN,NAN,NAN,2020
신풍제지,002870,"2,475",NAN,NAN,NAN,2020
대유에이텍,002880,886,NAN,NAN,NAN,2020
동양물산기업,002900,"1,785",8.96,NAN,0.34,2020
유성기업,002920,"2,880",NAN,NAN,NAN,2020
한국쉘석유,002960,"251,000",NAN,NAN,NAN,2020
금호산업,002990,"10,250",7.68,0.89,0.21,2020
부광약품,003000,"23,500",NAN,NAN,NAN,2020
혜인,003010,"5,330",NAN,NAN,NAN,2020
세아제강지주,003030,"48,950",NAN,NAN,NAN,2020
에이프로젠제약,003060,"1,330",NAN,NAN,NAN,2020
코오롱글로벌,003070,"20,000",5.9,0.92,0.14,2020
성보화학,003080,"4,310",NAN,NAN,NAN,2020
대웅,003090,"21,850",NAN,NAN,NAN,2020
일성신약,003120,"80,800",NAN,NAN,NAN,2020
디아이,003160,"4,090",NAN,NAN,NAN,2020
일신방직,003200,"75,400",NAN,NAN,NAN,2020
대원제약,003220,"18,950",15.98,1.74,1.19,2020
삼양식품,003230,"99,400",9.05,2.06,1.11,2020
태광산업,003240,"839,000",NAN,NAN,NAN,2020
흥아해운,003280,258,NAN,NAN,NAN,2020
한일홀딩스,003300,"52,600",NAN,NAN,NAN,2020
한국화장품제조,003350,"40,700",NAN,NAN,NAN,2020
쌍용양회공업,003410,"5,550",19.1,1.62,1.92,2020
유화증권,003460,"2,400",NAN,NAN,NAN,2020
유안타증권,003470,"3,145",NAN,NAN,NAN,2020
한진중공업홀딩스,003480,"4,190",NAN,NAN,NAN,2020
대한항공,003490,"23,900",-4.88,0.76,0.32,2020
영진약품,003520,"7,360",NAN,NAN,NAN,2020
한화투자증권,003530,"2,180",NAN,NAN,NAN,2020
대신증권,003540,"13,800",NAN,NAN,NAN,2020
LG,003550,"75,200",8.65,0.63,1.85,2020
아이에이치큐,003560,"1,535",NAN,NAN,NAN,2020
S&T중공업,003570,"5,550",NAN,NAN,NAN,2020
넥스트사이언스,003580,"5,280",NAN,NAN,NAN,2020
방림,003610,"1,920",NAN,NAN,NAN,2020
쌍용자동차,003620,"3,910",NAN,NAN,NAN,2020
미창석유공업,003650,"64,700",NAN,NAN,NAN,2020
포스코케미칼,003670,"80,100",149.85,4.51,3.09,2020
한성기업,003680,"8,850",NAN,NAN,NAN,2020
코리안리,003690,"7,610",NAN,NAN,NAN,2020
삼영화학공업,003720,"2,010",NAN,NAN,NAN,2020
진양산업,003780,"4,630",NAN,NAN,NAN,2020
대한화섬,003830,"102,000",NAN,NAN,NAN,2020
보령제약,003850,"16,450",24.56,2.09,1.28,2020
남양유업,003920,"273,000",NAN,NAN,NAN,2020
사조대림,003960,"15,600",NAN,NAN,NAN,2020
롯데정밀화학,004000,"52,400",8.08,0.84,1.06,2020
현대제철,004020,"32,300",-26.96,0.25,0.24,2020
SG세계물산,004060,643,NAN,NAN,NAN,2020
신흥,004080,"12,300",NAN,NAN,NAN,2020
한국석유공업,004090,"92,900",NAN,NAN,NAN,2020
태양금속공업,004100,"1,080",NAN,NAN,NAN,2020
동방,004140,"2,125",NAN,NAN,NAN,2020
한솔홀딩스,004150,"3,420",4.14,0.32,0.31,2020
신세계,004170,"229,500",-59.62,0.44,0.46,2020
엔피씨,004250,"3,135",NAN,NAN,NAN,2020
남성,004270,"4,300",NAN,NAN,NAN,2020
현대약품,004310,"6,450",NAN,NAN,NAN,2020
세방,004360,"9,750",NAN,NAN,NAN,2020
농심,004370,"292,000",13.18,0.87,0.67,2020
삼익THK,004380,"10,850",NAN,NAN,NAN,2020
서울식품공업,004410,156,NAN,NAN,NAN,2020
송원산업,004430,"14,100",11.83,0.68,0.43,2020
삼일씨엔에스,004440,"10,550",NAN,NAN,NAN,2020
삼화왕관,004450,"39,350",NAN,NAN,NAN,2020
세방전지,004490,"34,000",NAN,NAN,NAN,2020
깨끗한나라,004540,"4,345",NAN,NAN,NAN,2020
현대비앤지스틸,004560,"8,220",NAN,NAN,NAN,2020
삼천리,004690,"81,400",14.61,0.24,0.1,2020
조광피혁,004700,"50,400",NAN,NAN,NAN,2020
한솔테크닉스,004710,"8,810",14.07,1.0,0.25,2020
우리들제약,004720,"12,500",NAN,NAN,NAN,2020
써니전자,004770,"4,320",NAN,NAN,NAN,2020
효성,004800,"78,400",28.98,0.63,0.56,2020
덕성,004830,"9,370",NAN,NAN,NAN,2020
DRB동일,004840,"6,980",NAN,NAN,NAN,2020
티웨이홀딩스,004870,"1,080",NAN,NAN,NAN,2020
동일산업,004890,"68,600",NAN,NAN,NAN,2020
조광페인트,004910,"5,500",NAN,NAN,NAN,2020
씨아이테크,004920,"1,030",NAN,NAN,NAN,2020
한신공영,004960,"15,050",NAN,NAN,NAN,2020
신라교역,004970,"9,430",NAN,NAN,NAN,2020
성신양회,004980,"6,990",24.14,0.43,0.28,2020
롯데지주,004990,"33,650",-20.95,0.44,0.42,2020
휴스틸,005010,"7,230",NAN,NAN,NAN,2020
부산주공,005030,956,NAN,NAN,NAN,2020
코스모신소재,005070,"14,950",NAN,NAN,NAN,2020
에스지씨에너지,005090,"39,850",NAN,NAN,NAN,2020
한창,005110,"1,135",NAN,NAN,NAN,2020
빙그레,005180,"55,700",10.87,0.91,0.59,2020
동성화학,005190,"15,750",4.16,0.63,0.46,2020
녹십자홀딩스,005250,"41,600",NAN,NAN,NAN,2020
롯데칠성음료,005300,"97,100",24.64,0.64,0.34,2020
국동,005320,"3,760",NAN,NAN,NAN,2020
모나미,005360,"6,170",NAN,NAN,NAN,2020
현대자동차,005380,"179,500",16.71,0.49,0.37,2020
신성통상,005390,"1,805",35.53,1.09,0.25,2020
코스모화학,005420,"8,620",NAN,NAN,NAN,2020
한국공항,005430,"37,700",NAN,NAN,NAN,2020
현대그린푸드,005440,"7,720",7.22,0.36,0.23,2020
포스코,005490,"238,500",13.39,0.43,0.36,2020
삼진제약,005500,"26,950",NAN,NAN,NAN,2020
SPC삼립,005610,"76,900",255.22,2.06,0.26,2020
삼영전자공업,005680,"8,930",15.4,0.38,0.92,2020
파미셀,005690,"23,350",NAN,NAN,NAN,2020
넥센,005720,"4,145",NAN,NAN,NAN,2020
크라운해태홀딩스,005740,"9,030",NAN,NAN,NAN,2020
대림비앤코,005750,"5,770",NAN,NAN,NAN,2020
신영와코루,005800,"103,000",NAN,NAN,NAN,2020
풍산홀딩스,005810,"28,000",NAN,NAN,NAN,2020
원림,005820,"19,250",NAN,NAN,NAN,2020
DB손해보험,005830,"45,800",6.03,0.5,NAN,2020
에스엘,005850,"15,600",12.77,0.53,0.32,2020
휴니드테크놀러지스,005870,"5,990",NAN,NAN,NAN,2020
대한해운,005880,"2,985",17.24,0.76,0.78,2020
삼성전자,005930,"64,800",13.86,1.37,1.62,2020
NH투자증권,005940,"10,800",5.22,0.52,1.81,2020
이수화학,005950,"15,000",8.55,0.6,0.18,2020
동부건설,005960,"12,100",4.29,0.58,0.21,2020
동원산업,006040,"217,500",4.28,0.64,0.28,2020
화승인더스트리,006060,"7,480",7.5,0.8,0.3,2020
사조오양,006090,"9,930",NAN,NAN,NAN,2020
삼아알미늄,006110,"8,650",NAN,NAN,NAN,2020
SK디스커버리,006120,"71,000",NAN,NAN,NAN,2020
한국전자홀딩스,006200,837,NAN,NAN,NAN,2020
제주은행,006220,"3,425",NAN,NAN,NAN,2020
LS,006260,"61,600",12.18,0.45,0.19,2020
녹십자,006280,"384,000",41.98,3.59,3.03,2020
대원전선,006340,"1,005",NAN,NAN,NAN,2020
GS건설,006360,"31,300",5.69,0.56,0.25,2020
대구백화점,006370,"10,050",NAN,NAN,NAN,2020
카프로,006380,"3,650",NAN,NAN,NAN,2020
한일현대시멘트,006390,"26,400",NAN,NAN,NAN,2020
삼성SDI,006400,"501,000",54.6,2.6,2.98,2020
인스코비,006490,"2,445",NAN,NAN,NAN,2020
대림통상,006570,"4,015",NAN,NAN,NAN,2020
대한유화,006650,"243,000",11.91,0.83,0.85,2020
삼성공조,006660,"6,500",NAN,NAN,NAN,2020
영풍제지,006740,"4,800",NAN,NAN,NAN,2020
미래에셋대우,006800,"9,440",7.77,0.65,2.72,2020
AK홀딩스,006840,"20,450",NAN,NAN,NAN,2020
신송홀딩스,006880,"3,825",NAN,NAN,NAN,2020
태경케미컬,006890,"12,650",NAN,NAN,NAN,2020
우성사료,006980,"3,160",NAN,NAN,NAN,2020
GS리테일,007070,"33,900",14.66,0.98,0.29,2020
일신석재,007110,"2,000",NAN,NAN,NAN,2020
미래아이앤지,007120,349,NAN,NAN,NAN,2020
사조산업,007160,"31,100",NAN,NAN,NAN,2020
벽산,007210,"2,035",NAN,NAN,NAN,2020
한국특수형강,007280,"1,930",NAN,NAN,NAN,2020
오뚜기,007310,"556,000",14.57,1.38,0.78,2020
디티알오토모티브,007340,"24,450",NAN,NAN,NAN,2020
에이프로젠 KIC,007460,"1,930",NAN,NAN,NAN,2020
샘표,007540,"47,350",NAN,NAN,NAN,2020
일양약품,007570,"63,900",NAN,NAN,NAN,2020
동방아그로,007590,"6,420",NAN,NAN,NAN,2020
선도전기,007610,"2,800",NAN,NAN,NAN,2020
폴루스바이오팜,007630,"1,225",NAN,NAN,NAN,2020
이수페타시스,007660,"4,010",NAN,NAN,NAN,2020
국도화학,007690,"45,500",NAN,NAN,NAN,2020
F&F,007700,"91,300",17.55,2.58,1.72,2020
코리아써키트,007810,"13,100",10.49,0.73,0.34,2020
서연,007860,"11,550",NAN,NAN,NAN,2020
태평양물산,007980,"1,965",NAN,NAN,0.11,2020
사조동아원,008040,933,NAN,NAN,NAN,2020
대덕,008060,"6,470",NAN,NAN,NAN,2020
대동전자,008110,"4,430",10.33,0.32,1.03,2020
이건산업,008250,"9,100",NAN,NAN,NAN,2020
NI스틸,008260,"2,350",NAN,NAN,NAN,2020
남선알미늄,008350,"4,230",NAN,NAN,NAN,2020
