"CJ프레시웨이","051500","15,350","18.98","0.63","0.06","2019"
"EDGC","245620","16,150","-67.93","12.22","10.3","2019"
"GST","083450","16,750","8.67","1.51","0.93","2019"
"GS홈쇼핑","028150","113,500","6.78","0.65","0.61","2019"
"ITX엠투엠","099520","2,140","-7.05","3.6","1.1","2019"
"JW신약","067290","5,840","173.81","3.69","2.37","2019"
"KB오토시스","024120","6,090","6.55","0.68","0.47","2019"
"KH바텍","060720","22,200","-44.38","2.79","2.53","2019"
"SK5호스팩","337450","2,000","NAN","1.55","NAN","2019"
"SK6호스팩","340350","1,990","NAN","1.04","NAN","2019"
"THE E&M","089230","577","-16.46","1.0","1.47","2019"
"TJ미디어","032540","2,755","42.65","0.49","0.51","2019"
"YW","051390","3,685","20.92","0.59","2.18","2019"
"갤럭시아컴즈","094480","5,050","22.51","2.17","2.31","2019"
"경창산업","024910","1,520","-0.71","0.59","0.1","2019"
"고려시멘트","198440","3,080","28.97","1.11","1.39","2019"
"골프존","215000","65,300","25.29","2.05","1.66","2019"
"교보8호스팩","307280","2,165","NAN","1.18","NAN","2019"
"국순당","043650","4,720","-10.16","0.41","0.83","2019"
"그리티","204020","2,805","35.32","0.76","0.46","2019"
"나노브릭","286750","18,850","-107.44","6.05","11.02","2019"
"나스미디어","089600","35,750","13.91","2.04","2.68","2019"
"네오티스","085910","3,700","27.17","0.93","0.96","2019"
"네이처셀","007390","10,800","734.28","8.07","28.61","2019"
"녹십자셀","031390","44,100","48.11","6.28","14.09","2019"
"뉴인텍","012340","1,810","-49.44","2.01","1.0","2019"
"뉴프렉스","085670","1,795","-3.96","0.77","0.3","2019"
"대봉엘에스","078140","13,750","24.59","1.8","2.19","2019"
"대유에이피","290120","6,230","8.48","1.41","0.43","2019"
"대주산업","003310","1,810","35.59","1.23","0.76","2019"
"대한그린파워","060900","700","-8.01","3.39","5.05","2019"
"대한약품","023910","29,350","6.24","1.06","1.04","2019"
"동구바이오제약","006620","24,400","15.52","2.74","1.87","2019"
"동방선기","099410","3,025","-40.96","1.44","1.74","2019"
"디에이테크놀로지","196490","1,490","-4.12","1.3","0.79","2019"
"디에이피","066900","3,150","71.65","0.71","0.26","2019"
"디엔에프","092070","12,850","62.86","1.53","2.35","2019"
"디오","039840","25,750","15.61","2.78","3.14","2019"
"디지틀조선","033130","3,515","37.27","1.69","3.86","2019"
"디케이디앤아이","033310","4,965","25.37","1.81","2.35","2019"
"디케이앤디","263020","6,660","18.46","1.0","0.86","2019"
"루미마이크로","082800","1,505","-6.25","1.66","4.03","2019"
"룽투코리아","060240","5,320","84.55","1.83","4.49","2019"
"링크제니시스","219420","5,910","98.5","1.72","5.18","2019"
"마이크로텍","227950","2,800","-9.17","4.29","9.02","2019"
"메디톡스","086900","246,200","57.48","5.6","7.15","2019"
"메이슨캐피탈","021880","244","-5.76","0.65","7.56","2019"
"메탈라이프","327260","20,100","58.04","2.71","4.3","2019"
"모비스","250060","2,230","-119.57","2.14","5.93","2019"
"모트렉스","118990","3,185","-2.38","1.05","0.29","2019"
"미래SCI","028040","279","-0.61","0.74","0.85","2019"
"미스터블루","207760","13,000","26.55","7.43","4.99","2019"
"바디텍메드","206640","26,300","51.87","8.01","8.48","2019"
"바이넥스","053030","31,450","118.84","6.18","7.97","2019"
"브랜드엑스코퍼레이션","337930","12,650","23.64","12.56","2.8","2019"
"삼보판지","023600","8,000","4.03","0.33","0.35","2019"
"삼본전자","111870","1,390","-4.46","0.65","2.35","2019"
"삼아제약","009300","18,500","11.55","0.7","1.65","2019"
"상지카일룸","042940","1,380","-11.42","1.3","0.56","2019"
"서암기계공업","100660","4,390","25.14","0.9","1.44","2019"
"성창오토텍","080470","7,700","-562.1","1.32","0.42","2019"
"세보엠이씨","011560","5,330","-7.38","0.38","0.09","2019"
"세종메디칼","258830","15,050","32.91","2.23","6.3","2019"
"세코닉스","053450","4,440","-2.99","0.48","0.11","2019"
"셀루메드","049180","5,980","-3.9","9.27","8.13","2019"
"셀바스헬스케어","208370","2,325","-15.27","2.09","2.25","2019"
"스카이이앤엠","131100","2,570","-9.65","2.07","4.43","2019"
"스페코","013810","10,100","14.95","3.55","1.98","2019"
"승일","049830","8,170","-83.5","0.36","0.37","2019"
"시큐브","131090","1,540","12.08","1.96","2.98","2019"
"심텍","222800","18,000","-11.39","2.78","0.45","2019"
"싸이토젠","217330","16,750","-23.02","5.27","117.96","2019"
"쌍용정보통신","010280","1,180","36.73","1.08","0.44","2019"
"씨유메디칼","115480","3,500","-22.15","1.16","0.79","2019"
"씨케이에이치","900120","222","-0.35","0.05","0.19","2019"
"아나패스","123860","20,250","-9.24","3.72","3.37","2019"
"아바텍","149950","8,000","17.34","0.92","1.66","2019"
"아이센스","099190","28,000","16.51","1.91","2.03","2019"
"아이씨디","040910","15,100","23.62","1.8","2.18","2019"
"아이씨케이","068940","4,655","NAN","9.81","5.88","2019"
"아이원스","114810","8,090","-32.89","0.89","0.86","2019"
"아이즈비전","031310","3,470","-182.44","0.49","0.42","2019"
"아이티센","124500","5,700","16.48","0.56","0.06","2019"
"알리코제약","260660","14,000","13.67","1.92","1.18","2019"
"알에프세미","096610","4,655","-13.5","0.76","0.89","2019"
"알에프텍","061040","12,800","-153.75","2.08","0.97","2019"
"알테오젠","196170","184,100","-3009.93","72.89","175.24","2019"
"에스아이리소스","065420","639","-3.75","3.59","3.23","2019"
"에스코넥","096630","1,570","-8.4","1.12","0.4","2019"
"에쎈테크","043340","1,065","-153.36","2.76","1.48","2019"
"에이루트","096690","5,000","48.32","0.43","1.24","2019"
"에이티넘인베스트","021080","2,645","18.95","1.59","5.93","2019"
"에코프로비엠","247540","156,300","93.13","8.68","5.21","2019"
"엑시콘","092870","10,150","-17.01","1.2","2.36","2019"
"엔피케이","048830","1,475","-34.52","0.69","0.42","2019"
"엘앤케이바이오","156100","11,500","-10.5","4.01","4.8","2019"
"엠게임","058630","5,670","14.39","2.78","2.95","2019"
"엠벤처투자","019590","845","5.58","1.32","3.34","2019"
"엠씨넥스","097520","33,700","7.12","2.68","0.47","2019"
"영화테크","265560","13,450","-47.93","1.59","1.61","2019"
"오공","045060","5,820","12.97","1.22","0.65","2019"
"오픈베이스","049480","3,015","67.67","1.29","0.6","2019"
"옵티시스","109080","8,240","16.59","1.23","2.36","2019"
"와이지-원","019210","3,980","202.81","0.37","0.28","2019"
"원익QnC","074600","14,250","104.06","1.3","1.42","2019"
"원익큐브","014190","1,590","14.81","0.7","0.28","2019"
"원풍물산","008290","2,150","-15.91","1.92","2.14","2019"
"웨이브일렉트로","095270","9,200","-2.76","6.18","2.72","2019"
"웰크론","065950","8,570","-10.04","2.21","0.61","2019"
"위지트","036090","668","24.68","0.71","1.71","2019"
"유니테크노","241690","10,600","22.99","1.9","1.54","2019"
"유비쿼스홀딩스","078070","27,550","37.06","2.02","4.58","2019"
"유신","054930","14,050","-6.8","0.52","0.25","2019"
"유안타제5호스팩","336060","1,985","NAN","1.02","NAN","2019"
"유진스팩5호","331380","2,000","NAN","1.07","NAN","2019"
"유테크","178780","3,725","-15.78","4.12","2.11","2019"
"유티아이","179900","13,500","43.71","3.47","3.39","2019"
"이스트소프트","047560","6,800","-4.18","1.24","0.98","2019"
"이스트아시아홀딩스","900110","507","17.83","0.28","0.6","2019"
"이엠넷","123570","4,700","12.93","1.68","2.85","2019"
"이지웰","090850","8,220","38.45","4.96","2.2","2019"
