Name,Code,Price,PER,PBR,PSR,Year
와이지-원,019210,"4,500",NAN,NAN,NAN,2020
우리바이오,082850,"2,930",NAN,NAN,NAN,2020
원익QnC,074600,"16,850",12.91,1.36,0.83,2020
원익큐브,014190,"1,615",NAN,NAN,NAN,2020
원풍물산,008290,"2,375",NAN,NAN,NAN,2020
웨이브일렉트로,095270,"8,750",NAN,NAN,NAN,2020
웰크론,065950,"6,230",NAN,NAN,NAN,2020
위지트,036090,726,NAN,NAN,NAN,2020
유니온커뮤니티,203450,"3,760",NAN,NAN,NAN,2020
유니테크노,241690,"9,860",NAN,NAN,NAN,2020
유비쿼스홀딩스,078070,"28,200",NAN,NAN,NAN,2020
유신,054930,"14,250",NAN,NAN,NAN,2020
유안타제5호스팩,336060,"2,000",NAN,NAN,NAN,2020
유진스팩5호,331380,"2,005",NAN,NAN,NAN,2020
유테크,178780,"6,440",NAN,NAN,NAN,2020
유티아이,179900,"13,150",NAN,NAN,NAN,2020
이스트소프트,047560,"7,870",NAN,NAN,NAN,2020
이스트아시아홀딩스,900110,264,NAN,NAN,NAN,2020
이엠넷,123570,"4,195",NAN,NAN,NAN,2020
이지웰,090850,"9,100",20.21,4.35,2.05,2020
인베니아,079950,"2,185",NAN,NAN,NAN,2020
인텍플러스,064290,"13,900",17.24,5.54,2.61,2020
자비스,254120,"1,730",NAN,NAN,NAN,2020
자이글,234920,"3,005",NAN,NAN,NAN,2020
정상제이엘에스,040420,"6,040",15.78,1.46,1.11,2020
제우스,079370,"15,550",NAN,NAN,NAN,2020
제이엠티,094970,"2,660",NAN,NAN,NAN,2020
제이웨이,058420,935,NAN,NAN,NAN,2020
제일제강,023440,"1,735",NAN,NAN,NAN,2020
제주반도체,080220,"3,395",NAN,NAN,NAN,2020
젬백스,082270,"25,500",-490.66,10.44,20.88,2020
조아제약,034940,"4,860",NAN,NAN,NAN,2020
주성엔지니어링,036930,"6,890",332.44,1.37,2.31,2020
지엔씨에너지,119850,"6,180",12.13,0.98,0.49,2020
지엔코,065060,"1,130",NAN,NAN,NAN,2020
